Dataset,Method,Median reference ARI,Reference ARI SD,Median reference NMI,Reference NMI SD,Median pairwise partition ARI,5th percentile pairwise partition ARI,Minimum pairwise partition ARI,"Iso-accuracy pairs, n",Median iso-accuracy partition ARI,Minimum iso-accuracy partition ARI,"Divergent iso-accuracy pairs, n",Divergent iso-accuracy fraction
151507,GraphST,0.25889099110000002,0.01724431232,0.44394233970000002,0.02248502376,0.45802238099999998,0.36824100399999998,0.34781629279999998,113,0.47860094139999998,0.34781629279999998,69,0.61061946899999997
151507,STAGATE,0.2506924908,0.064394927429999999,0.477108698,0.052370161890000003,0.56309052699999995,0.43185932110000003,0.28383149159999999,80,0.82672924410000004,0.32214715310000003,2,0.025000000000000001
151507,SpaGCN,0.35764552519999998,0.052350558220000003,0.48046406990000001,0.031240889760000001,0.53247885839999998,0.35483058880000001,0.32001540880000001,45,0.63424170940000002,0.38539958270000002,4,0.088888888890000003
151507,BANKSY,0.24564922859999999,0.039491824330000001,0.47640497259999998,0.044603614149999998,0.61667215529999997,0.3566389667,0.27764173669999997,58,0.99047884409999998,0.48119286760000002,1,0.017241379309999999
151507,SEDR,0.52662389710299995,0.031467571311600002,0.68175491204600003,0.0203802562465,0.67065921665799988,0.55125413304799986,0.493165068629,73,0.67803748398999986,0.52400276305399995,0,0
151508,GraphST,0.2673298617,0.035679564599999998,0.39492016569999999,0.020622351649999999,0.48811633539999999,0.35967393739999998,0.3341550049,50,0.52759686760000002,0.35974637900000001,19,0.38
151508,STAGATE,0.28141711809999997,0.056213599990000002,0.46009168769999997,0.038564068600000001,0.55696432380000005,0.40066643800000001,0.37004234759999999,51,0.82705965930000003,0.64382183510000002,0,0
151508,SpaGCN,0.28558691260000002,0.037012509669999999,0.4014458306,0.029120515060000001,0.45916033499999998,0.35819234490000001,0.32269985490000003,55,0.46451636600000001,0.34480731460000003,34,0.61818181819999996
151508,BANKSY,0.25043499920000001,0.061807182129999999,0.41507937119999999,0.055997599959999998,0.54049656989999995,0.43526952149999998,0.37742815810000002,50,0.80271009770000001,0.38336600700000001,4,0.080000000000000002
151508,SEDR,0.50804582683300004,0.0224035408608,0.652057172307,0.0134161429274999,0.72159531608500005,0.55321488257600004,0.49288567879900003,90,0.73271354631200003,0.52519897235500002,0,0
151509,GraphST,0.30685160779999998,0.046479485389999999,0.47232674590000001,0.028100710399999999,0.44775432850000002,0.31883480219999999,0.2898745137,56,0.49866430039999998,0.32136926259999998,29,0.51785714289999996
151509,STAGATE,0.41389407779999998,0.041389811509999999,0.5409774758,0.025131866249999999,0.74573058469999998,0.5126181058,0.41870906489999998,89,0.89989650779999997,0.64656718049999995,0,0
151509,SpaGCN,0.33613080890000002,0.038455240170000002,0.49281562769999998,0.041183020250000001,0.51972285780000005,0.4060767475,0.31506163929999997,69,0.54166721630000003,0.42081051380000001,16,0.231884058
151509,BANKSY,0.35790865500000002,0.053543014450000002,0.56519779209999998,0.039736133520000001,0.50670775530000001,0.39498920320000003,0.34476363230000001,43,0.97800409359999996,0.48647975030000001,2,0.046511627909999999
151509,SEDR,0.50814178812699995,0.088592859501500004,0.65397253381300002,0.040138550534199902,0.60495269284499986,0.47437788042200002,0.389138898688,30,0.65317022999100005,0.48951159941200001,1,0.033333333333299901
151510,GraphST,0.3124588271,0.039667130010000003,0.46138497389999999,0.023373664169999999,0.45402350120000001,0.3273395388,0.27653002780000002,47,0.5121237381,0.39931657300000001,18,0.3829787234
