Dataset,Method,Empirical P(rank 1),Expected empirical rank,Median empirical rank,P(top 2),P(top 3),Within-unit partition-to-marker Spearman rho,Low-tertile marker Jaccard,Middle-tertile marker Jaccard,High-tertile marker Jaccard,20-seed consensus reference ARI,Split-half consensus ARI,Consensus reproducibility gain
151507,GraphST,0,3.8199999999999998,4,0.012775,0.37945000000000001,0.55635186000000003,0.73913043,0.81818181999999995,0.80180180000000001,0.25963071599999998,0.55366497950000004,0.095642598499999995
151507,STAGATE,0,3.7400000000000002,4,0.2054999999999999,0.38500000000000001,0.69614153000000001,0.76991149999999997,0.88679244999999995,0.88679244999999995,0.2469737501,0.85801589450000004,0.29492536740000003
151507,SpaGCN,0.0025000000000000001,2.3300000000000001,2,0.70956249999999987,0.95999999999999996,0.85673809999999995,0.58251231999999997,0.75438596000000002,0.80194805000000002,0.36705202939999998,0.73353869270000005,0.20105983429999999
151507,BANKSY,0,4.1074999999999999,4,0.072162500000000004,0.27555000000000002,0.97333864000000003,0.73913043,0.98019802,1,0.2457833257,0.98786525999999997,0.3711931047
151507,SEDR,0.99750000000000005,1.0024999999999999,1,1,1,0.75327726289999986,0.63934426229999985,0.70940170940000002,0.77781289509999985,0.56841623849400003,0.76027036912099988,0.089611152462999902
151508,GraphST,0,3.5550000000000002,4,0.17074375,0.4715125,0.65746473000000005,0.75438596000000002,0.80180180000000001,0.82652210000000004,0.1937269257,0.57553470569999998,0.087418370309999993
151508,STAGATE,0,3.5625,4,0.2304624999999999,0.4657,0.10793911,0.80180180000000001,0.86915887999999997,0.81818181999999995,0.2077569564,0.57050076169999997,0.013536437970000001
151508,SpaGCN,0,2.98,3,0.37883749999999988,0.71207500000000001,0.69741047,0.53846154000000002,0.65300546000000004,0.70940170999999996,0.39521172809999999,0.72355967060000004,0.26439933560000001
151508,BANKSY,0,3.9024999999999999,4,0.21995624999999991,0.35071249999999993,0.82945590000000002,0.75438596000000002,0.75438596000000002,0.88679244999999995,0.24556816610000001,0.92592308270000001,0.38542651280000001
151508,SEDR,1,1,1,1,1,0.67374351290000001,0.70940170940000002,0.7699115044,0.81818181820000002,0.53894389774399987,0.83548157537300005,0.1138862592889999
151509,GraphST,0.0053625000000000001,4.2874999999999996,5,0.067049999999999901,0.2076875,0.43066681000000001,0.75438596000000002,0.75438596000000002,0.80180180000000001,0.31015125830000001,0.54690946600000001,0.099155137510000005
151509,STAGATE,0.12520000000000001,2.1800000000000002,2,0.76076874999999988,0.94523749999999995,0.41718420000000001,0.86050537000000005,0.87797566999999999,0.86915887999999997,0.41301254380000002,0.95526658909999995,0.2095360044
151509,SpaGCN,0.00027625000000000002,3.9399999999999999,4,0.019927500000000001,0.27106625000000001,0.52204514000000002,0.72413793000000004,0.75438596000000002,0.80180180000000001,0.33499615649999998,0.74694461199999995,0.22722175419999999
151509,BANKSY,0.031125,3.3799999999999999,3,0.1968125,0.58174999999999988,0.94124026000000005,0.92307691999999997,0.96078430999999997,1,0.35585426790000002,0.86955744180000005,0.36284968649999999
151509,SEDR,0.83803625000000004,1.2124999999999999,1,0.95544125000000002,0.99425874999999997,0.53758087880000005,0.64611841209999987,0.65977961429999987,0.71702284449999987,0.537951707088,0.77835229953899987,0.17339960669400001
151510,GraphST,0,3.7225000000000001,4,0.13316249999999991,0.42654999999999987,0.53646762000000003,0.68779376000000003,0.69503698999999997,0.78571429000000004,0.36996367559999999,0.86495748920000004,0.41093398799999997
151510,STAGATE,0,3.5699999999999998,4,0.27634999999999987,0.45329999999999993,0.86009217999999998,0.62601625999999999,0.74702471999999998,0.84335711999999996,0.30482604320000001,0.67107754419999999,0.14477535220000001
151510,SpaGCN,0,3.8700000000000001,4,0.117225,0.35004999999999992,0.82060502999999996,0.65289255999999996,0.69491524999999998,0.72413793000000004,0.40860152890000001,0.61218683929999995,0.113183748
151510,BANKSY,0,2.8374999999999999,3,0.47326249999999992,0.77010000000000001,0.81927388999999995,0.48148148000000002,0.78571429000000004,0.86915887999999997,0.32892888520000002,0.92439106019999995,0.40842011859999999
151510,SEDR,1,1,1,1,1,0.69301122920000002,0.63945441110000001,0.70940170940000002,0.73913043479999985,0.449454009371,0.89545973105099985,0.28108881662500002
