section,dataset_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top50_marker_jaccard,top100_marker_jaccard,marker_rank_spearman,aligned_domains_compared_n,aligned_domains_compared,marker_pipeline_source,partition_ari_tertile,section_display,marker_set_size
151507,151507,GraphST,3,14,0.00222679,0.42216101,0.78571429,0.75438596,0.85835133,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,3,15,0.00019646,0.56540482,0.85185185,0.81818182,0.93500856,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,3,16,0.00535989,0.49322885,0.85185185,0.83486239,0.92907117,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,3,17,0.00634672,0.55213814,0.88679245,0.83486239,0.92328901,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,3,18,0.00826181,0.5323005,0.88679245,0.81818182,0.9089891,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,3,19,0.01988586,0.579847,0.85185185,0.8018018,0.93126809,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,3,20,0.00315246,0.37207213,0.69491525,0.57480315,0.85547692,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,4,7,0.00877401,0.52546052,0.69491525,0.75438596,0.88719169,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,4,8,0.01045169,0.51924917,0.66666667,0.69491525,0.8867767,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,4,11,0.00762221,0.51010896,0.69491525,0.70940171,0.88599665,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,4,16,0.01790036,0.54267187,0.78571429,0.69491525,0.89927502,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,6,7,0.01444114,0.47414287,0.81818182,0.81818182,0.92230439,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,6,8,0.01276346,0.49896378,0.85185185,0.8018018,0.92377366,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,6,9,0.00027629,0.4587958,0.85185185,0.78571429,0.90773068,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,6,10,0.01385963,0.50532958,0.85185185,0.8018018,0.91750207,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,6,11,0.01559294,0.49449531,0.88679245,0.8018018,0.9317708,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,6,14,0.00218169,0.41575353,0.75438596,0.73913043,0.85473602,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,6,15,0.00015136,0.57020725,0.85185185,0.83486239,0.92785844,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,6,16,0.00531479,0.49332858,0.81818182,0.81818182,0.93604772,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,6,17,0.00639182,0.59495711,0.88679245,0.83486239,0.93611436,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
