section,dataset_display,method,n_iso_accuracy_pairs,spearman_partition_ari_vs_marker_jaccard,spearman_partition_ari_vs_top50_jaccard,spearman_partition_ari_vs_marker_rank_spearman,section_display,low_tertile_median_marker_jaccard,middle_tertile_median_marker_jaccard,high_tertile_median_marker_jaccard,high_minus_low_marker_jaccard
151676,151676,STAGATE,111,0.19627411,0.4682754,0.58803966,151676,,,,
151676,151676,SpaGCN,122,0.77034138,0.5327499,0.69493855,151676,,,,
151676,151676,BANKSY,87,0.94432272,0.95542797,0.94429266,151676,,,,
151676,151676,SEDR,51,0.66132170970000004,0.60673553039999994,0.68380090500000001,151676,0.72413793100000001,0.73913043479999996,0.78571428570000001,0.061576354700000002
STARmap_20180505_BY3_1k,STARmap,GraphST,73,0.81013659,0.81866563,0.90287548,STARmap,,,,
STARmap_20180505_BY3_1k,STARmap,STAGATE,101,0.81725716,0.79048432,0.92437973,STARmap,,,,
STARmap_20180505_BY3_1k,STARmap,SpaGCN,26,0.85019789,0.87254477,0.9234188,STARmap,,,,
STARmap_20180505_BY3_1k,STARmap,BANKSY,102,0.82858528,0.89702047,0.8946109,STARmap,,,,
STARmap_20180505_BY3_1k,STARmap,SEDR,52,0.70398324540000001,0.83239707640000005,0.77336179370000002,STARmap,0.70940170940000002,0.83486238530000001,0.83486238530000001,0.12546067589999998
HBCA1,HBCA1,GraphST,74,0.60560089,0.45952924,0.47056646,HBCA1,,,,
HBCA1,HBCA1,STAGATE,93,0.37918161,0.17503542,0.26555459,HBCA1,,,,
HBCA1,HBCA1,SpaGCN,98,0.26229867,0.22053166,0.31879706,HBCA1,,,,
HBCA1,HBCA1,BANKSY,77,0.63245901,0.55042559,0.70387507,HBCA1,,,,
HBCA1,HBCA1,SEDR,66,0.67576728480000003,0.56018457830000001,0.68946874020000004,HBCA1,0.77428000080000003,0.81006493509999999,0.85201063190000004,0.077730631100000003
MERFISH_Bregma_m0.04,,GraphST,86,0.5540760073,,,Bregma -0.04,0.8608274191,0.8789696542,0.9048482964,0.04402087728
MERFISH_Bregma_m0.04,,STAGATE,27,0.5475101597,,,Bregma -0.04,0.8693221523,0.869812145,0.9230769231,0.05375477074
MERFISH_Bregma_m0.04,,SpaGCN,71,0.4996393736,,,Bregma -0.04,0.8695671487,0.8702207578,0.9139194139,0.04435226523
MERFISH_Bregma_m0.04,,BANKSY,123,0.8780902074,,,Bregma -0.04,0.9704911668,0.9801980198,1,0.02950883324
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,103,0.33869676999999998,0.35476986729999999,0.34962439049999999,Bregma -0.04,0.88948306600000004,0.91391941389999998,0.93707991040000005,0.047596844400000005
MERFISH_Bregma_m0.09,,GraphST,48,0.1733534827,,,Bregma -0.09,0.9047619048,0.9002695418,0.9139194139,0.009157509158
MERFISH_Bregma_m0.09,,STAGATE,67,0.5092480891,,,Bregma -0.09,0.8867924528,0.904934688,0.9139194139,0.02712696109
MERFISH_Bregma_m0.09,,SpaGCN,36,0.8139487207,,,Bregma -0.09,0.8961179008,0.9231658309,0.9418390956,0.04572119482
MERFISH_Bregma_m0.09,,BANKSY,126,0.9273442586,,,Bregma -0.09,0.9801980198,1,1,0.0198019802
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,23,0.58817754600000005,0.3515452141,0.58201581030000005,Bregma -0.09,0.86483212180000002,0.86483212180000002,0.91427001279999998,0.049437890999999956
MERFISH_Bregma_m0.14,,GraphST,96,0.4437400218,,,Bregma -0.14,0.8869603916,0.8869603916,0.9139194139,0.02695902229
MERFISH_Bregma_m0.14,,STAGATE,42,0.7086184673,,,Bregma -0.14,0.8868764222,0.9371714332,0.9512659433,0.06438952104
MERFISH_Bregma_m0.14,,SpaGCN,55,0.5614382499,,,Bregma -0.14,0.9324122479,0.9324122479,0.9465982808,0.01418603289
MERFISH_Bregma_m0.14,,BANKSY,99,0.8026769838,,,Bregma -0.14,0.9900990099,1,1,0.009900990099
MERFISH_Bregma_m0.14,Bregma -0.14,SEDR,69,0.54564221040000005,0.48613254760000002,0.40806372060000001,Bregma -0.14,0.93277310920000001,0.94193061840000003,0.96078431369999995,0.028011204499999942
MERFISH_Bregma_m0.19,,GraphST,44,0.5037479931,,,Bregma -0.19,0.9232547388,0.9419306184,0.9512659433,0.02801120448
MERFISH_Bregma_m0.19,,STAGATE,45,0.8837015157,,,Bregma -0.19,0.8532818533,0.9047619048,0.9512659433,0.09798408999
MERFISH_Bregma_m0.19,,SpaGCN,22,0.7738492882,,,Bregma -0.19,0.9139194139,0.9232547388,0.9417475728,0.0278281589
MERFISH_Bregma_m0.19,,BANKSY,123,,,,Bregma -0.19,1,1,1,0
MERFISH_Bregma_m0.19,Bregma -0.19,SEDR,134,0.67567810930000005,0.81024905020000004,0.80691529819999996,Bregma -0.19,0.92325473879999997,0.94193061840000003,0.96078431369999995,0.037529574899999973
MERFISH_Bregma_m0.24,,GraphST,58,0.4406518109,,,Bregma -0.24,0.9139194139,0.9324122479,0.9324122479,0.01849283403
MERFISH_Bregma_m0.24,,STAGATE,38,0.7420876794,,,Bregma -0.24,0.8274365821,0.8867924528,0.9278334934,0.1003969113
MERFISH_Bregma_m0.24,,SpaGCN,43,0.6245872895,,,Bregma -0.24,0.9327731092,0.9465982808,0.9657319815,0.03295887229
MERFISH_Bregma_m0.24,,BANKSY,111,0.6707936405,,,Bregma -0.24,0.9801980198,0.9801980198,1,0.0198019802
MERFISH_Bregma_m0.24,Bregma -0.24,SEDR,57,0.84713267609999998,0.86187865679999998,0.8976536168,Bregma -0.24,0.87797566569999996,0.94193061840000003,0.96078431369999995,0.082808647999999985
