section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
151510,151510,SEDR,Middle,14,0.62416570049999998,0.70940170940000002,0.72413793100000001,0.86156791619999995,151510
151669,151669,GraphST,High,14,0.49863945,0.61290323,0.69491525,0.838154,151669
151669,151669,GraphST,Low,15,0.41581429,0.49253731,0.58730159,0.80939627,151669
151669,151669,GraphST,Middle,14,0.48177526,0.56865157,0.68079096,0.82082314,151669
151669,151669,STAGATE,High,42,0.77040896,0.70940171,0.80194805,0.91377027,151669
151669,151669,STAGATE,Low,43,0.7395279,0.69491525,0.78571429,0.91114569,151669
151669,151669,STAGATE,Middle,43,0.7529234,0.70940171,0.78571429,0.91046283,151669
151669,151669,SpaGCN,High,21,0.60876024,0.65289256,0.66666667,0.84412048,151669
151669,151669,SpaGCN,Low,21,0.40514541,0.42857143,0.49253731,0.68625702,151669
151669,151669,SpaGCN,Middle,21,0.48888806,0.5503876,0.5625,0.76805746,151669
151669,151669,BANKSY,High,57,0.99923661,1,1,1,151669
151669,151669,BANKSY,Low,57,0.92166482,0.75438596,0.81818182,0.985178,151669
151669,151669,BANKSY,Middle,57,0.99578462,0.96078431,0.96078431,0.99841551,151669
151669,151669,SEDR,High,14,0.71783919080000003,0.73163418290000004,0.81818181820000002,0.94842949379999997,151669
151669,151669,SEDR,Low,15,0.54313565679999998,0.62601626020000001,0.72413793100000001,0.91825212339999995,151669
151669,151669,SEDR,Middle,14,0.62193316610000005,0.6949152542,0.77005012530000005,0.92939092280000002,151669
151670,151670,GraphST,High,20,0.47068846,0.57490079,0.66666667,0.84093378,151670
151670,151670,GraphST,Low,21,0.33854481,0.53846154,0.61290323,0.8436491,151670
151670,151670,GraphST,Middle,21,0.38290631,0.57480315,0.58730159,0.84831544,151670
151670,151670,STAGATE,High,9,0.69292906,0.66666667,0.75438596,0.9157306,151670
151670,151670,STAGATE,Low,10,0.5793904,0.49253731,0.53846154,0.73246577,151670
151670,151670,STAGATE,Middle,10,0.65957073,0.65977961,0.70952659,0.9161383,151670
151670,151670,SpaGCN,High,24,0.4769166,0.44421272,0.52698048,0.74949255,151670
151670,151670,SpaGCN,Low,25,0.34379109,0.27388535,0.2987013,0.5037341,151670
151670,151670,SpaGCN,Middle,24,0.39654564,0.34681662,0.3986698,0.60952011,151670
151670,151670,BANKSY,High,6,0.97536645,0.90545323,0.90493469,0.99066928,151670
151670,151670,BANKSY,Low,7,0.72220366,0.5037594,0.49253731,0.85183921,151670
151670,151670,BANKSY,Middle,6,0.86258135,0.75560176,0.83501684,0.92018544,151670
151670,151670,SEDR,High,16,0.71826014149999995,0.68067226889999999,0.75438596489999998,0.92375679980000003,151670
151670,151670,SEDR,Low,16,0.54547544059999997,0.50375939849999996,0.60010240660000003,0.82714807899999998,151670
151670,151670,SEDR,Middle,16,0.60708910540000005,0.48148148149999997,0.57490079370000002,0.80174344310000001,151670
151671,151671,GraphST,High,24,0.59064118,0.58730159,0.68079096,0.84412579,151671
151671,151671,GraphST,Low,24,0.51275021,0.51515152,0.61290323,0.80449591,151671
151671,151671,GraphST,Middle,24,0.56487229,0.56865157,0.63934426,0.81393222,151671
151671,151671,STAGATE,High,23,0.74886605,0.68067227,0.75438596,0.90314933,151671
151671,151671,STAGATE,Low,24,0.63678401,0.53258955,0.58730159,0.83421373,151671
151671,151671,STAGATE,Middle,23,0.70461169,0.62601626,0.69491525,0.87063131,151671
151671,151671,SpaGCN,High,24,0.54468106,0.5625,0.58730159,0.89009897,151671
151671,151671,SpaGCN,Low,25,0.38359939,0.38888889,0.4084507,0.71380139,151671
151671,151671,SpaGCN,Middle,24,0.4764304,0.49253731,0.51515152,0.84904152,151671
151671,151671,BANKSY,High,44,0.94770256,0.86915888,0.88679245,0.98024173,151671
