section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,feature_hash,coordinate_hash,graph_hash,elapsed_seconds,device,section_display,n_cells,n_genes
151507,GraphST,17,0.2524234943,0.4341524042,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,4712e72e3cb4b04353975216a2ae7dd85ff984c7993b6c868e25f5925a621333,11.27369332,cuda:0,151507,,
151507,GraphST,18,0.2505084057,0.448303781,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,4712e72e3cb4b04353975216a2ae7dd85ff984c7993b6c868e25f5925a621333,11.12761378,cuda:0,151507,,
151507,GraphST,19,0.2388843565,0.4398020299,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,4712e72e3cb4b04353975216a2ae7dd85ff984c7993b6c868e25f5925a621333,11.17149806,cuda:0,151507,,
151507,GraphST,20,0.2619226734,0.4279021011,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,4712e72e3cb4b04353975216a2ae7dd85ff984c7993b6c868e25f5925a621333,11.14918041,cuda:0,151507,,
151507,STAGATE,1,0.2512988965,0.4693484669,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,51.3607502,cpu,151507,,
151507,STAGATE,2,0.2383313522,0.5325344689,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,46.23930669,cpu,151507,,
151507,STAGATE,3,0.2480230559,0.475267275,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,50.60571289,cpu,151507,,
151507,STAGATE,4,0.2250664111,0.4041000164,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,49.36347866,cpu,151507,,
151507,STAGATE,5,0.2414256277,0.4741051746,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,45.12706041,cpu,151507,,
151507,STAGATE,6,0.252721638,0.478950121,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,1965cd32db12f7679856dc5399601915a9c7effed9aa6db5499f16e2d0041556,39.49336576,cpu,151507,,
