section,method,seed_r,seed_s,ari_r,ari_s,abs_reference_ari_difference,pairwise_partition_ari,pairwise_partition_nmi,section_display
151507,GraphST,4,6,0.2820304604,0.2588153126,0.02321514774,0.4684277331,0.5742879796,151507
151507,GraphST,4,7,0.2820304604,0.273256454,0.008774006389,0.5254605229,0.5982371316,151507
151507,GraphST,4,8,0.2820304604,0.2715787728,0.01045168753,0.5192491733,0.5945027256,151507
151507,GraphST,4,9,0.2820304604,0.2585390237,0.02349143669,0.4808127721,0.574655044,151507
151507,GraphST,4,10,0.2820304604,0.2449556832,0.03707477721,0.5010946223,0.5768240148,151507
151507,GraphST,4,11,0.2820304604,0.2744082524,0.007622207951,0.5101089557,0.5888590687,151507
151507,GraphST,4,12,0.2820304604,0.2359170649,0.04611339543,0.4239807536,0.5819469826,151507
151507,GraphST,4,13,0.2820304604,0.2262248319,0.05580562844,0.4287487726,0.5717756076,151507
151507,GraphST,4,14,0.2820304604,0.2609970017,0.02103345863,0.4015069148,0.5542555226,151507
151507,GraphST,4,15,0.2820304604,0.2589666695,0.02306379088,0.4676514337,0.5741725913,151507
151507,GraphST,4,16,0.2820304604,0.2641300999,0.01790036051,0.5426718675,0.603739049,151507
151507,GraphST,4,17,0.2820304604,0.2524234943,0.02960696607,0.4473234155,0.5659005303,151507
151507,GraphST,4,18,0.2820304604,0.2505084057,0.03152205471,0.4471105639,0.5715298332,151507
151507,GraphST,4,19,0.2820304604,0.2388843565,0.04314610383,0.4452355513,0.5737840297,151507
151507,GraphST,4,20,0.2820304604,0.2619226734,0.02010778698,0.4236031198,0.5584201692,151507
151507,GraphST,5,6,0.3042338951,0.2588153126,0.04541858247,0.4148508543,0.5336473745,151507
151507,GraphST,5,7,0.3042338951,0.273256454,0.03097744111,0.4713015642,0.5752969811,151507
151507,GraphST,5,8,0.3042338951,0.2715787728,0.03265512226,0.4423142222,0.556835787,151507
151507,GraphST,5,9,0.3042338951,0.2585390237,0.04569487141,0.4570493558,0.5639062709,151507
151507,GraphST,5,10,0.3042338951,0.2449556832,0.05927821194,0.4036251043,0.5192183353,151507
151507,GraphST,5,11,0.3042338951,0.2744082524,0.02982564267,0.4027036323,0.5261950059,151507
