section,section_display,method,rank,rank_x2,count,probability,enumerated_combinations,rank_rule,interpretation_unit
151508,151508,GraphST,4,8,1059940,0.33123124999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,5,10,631220,0.19725624999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,2,4,737480,0.23046249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,3,6,752760,0.23523749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,4,8,882040,0.27563749999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,5,10,827720,0.25866250000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,2,4,1212280,0.37883749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,3,6,1066360,0.33323750000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,4,8,694440,0.2170125,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,5,10,226920,0.070912500000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,2,4,703860,0.21995624999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,3,6,418420,0.13075624999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,4,8,563580,0.17611874999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,5,10,1514140,0.47316875000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,1,2,3200000,1,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,2,4,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,3,6,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,4,8,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,5,10,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,1,2,17160,0.0053625000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,2,4,197400,0.061687499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,3,6,450040,0.1406375,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,4,8,719080,0.22471250000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,5,10,1816320,0.56759999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,1,2,400640,0.12520000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,2,4,2033820,0.63556875000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,3,6,590300,0.18446874999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,4,8,139380,0.043556249999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,5,10,35860,0.011206249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,1,2,884,0.00027625000000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,2,4,62884,0.019651249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,3,6,803644,0.25113875000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,4,8,1592524,0.49766375000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,5,10,740064,0.23127,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,1,2,99600,0.031125,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,2,4,530200,0.16568749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,3,6,1231800,0.38493749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,4,8,731400,0.2285625,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,BANKSY,5,10,607000,0.18968750000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,1,2,2681716,0.83803625000000004,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,2,4,375696,0.117405,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,3,6,124216,0.038817499999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,4,8,17616,0.0055050000000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SEDR,5,10,756,0.00023625,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,2,4,426120,0.13316249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,3,6,938840,0.29338750000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,4,8,931960,0.29123749999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,GraphST,5,10,903080,0.28221249999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,2,4,884320,0.27634999999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,3,6,566240,0.17695,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,4,8,790560,0.24704999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,STAGATE,5,10,958880,0.29965000000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,2,4,375120,0.117225,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,3,6,745040,0.232825,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,4,8,1000560,0.31267499999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SpaGCN,5,10,1079280,0.33727499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,2,4,1514440,0.47326249999999997,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,3,6,949880,0.29683749999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,4,8,476920,0.14903749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,BANKSY,5,10,258760,0.080862500000000004,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,1,2,3200000,1,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,2,4,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,3,6,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,4,8,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151510,151510,SEDR,5,10,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,2,4,195600,0.061124999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,3,6,1041600,0.32550000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151669,151669,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
