section,method,n_seeds,median_reference_ari,reference_ari_sd,reference_ari_min,reference_ari_max,reference_ari_range,median_reference_nmi,reference_nmi_sd,median_pairwise_partition_ari,p05_pairwise_partition_ari,minimum_pairwise_partition_ari,median_pairwise_partition_nmi,partition_instability,section_display,p05_pairwise_partition_nmi,minimum_pairwise_partition_nmi
151507,GraphST,20,0.2588909911,0.01724431232,0.2262248319,0.3042338951,0.07800906316,0.4439423397,0.02248502376,0.458022381,0.368241004,0.3478162928,0.588773811,0.541977619,151507,,
151507,STAGATE,20,0.2506924908,0.06439492743,0.2250664111,0.4170051092,0.1919386982,0.477108698,0.05237016189,0.563090527,0.4318593211,0.2838314916,0.6902837393,0.436909473,151507,,
151507,SpaGCN,20,0.3576455252,0.05235055822,0.2703780632,0.4619630376,0.1915849745,0.4804640699,0.03124088976,0.5324788584,0.3548305888,0.3200154088,0.6154352109,0.4675211416,151507,,
151507,BANKSY,20,0.2456492286,0.03949182433,0.2077447576,0.3322585124,0.1245137548,0.4764049726,0.04460361415,0.6166721553,0.3566389667,0.2776417367,0.7847266765,0.3833278447,151507,,
151507,SEDR,20,0.52662389710299995,0.031467571311600002,0.43391648706699998,0.57519566319299997,0.14127917612599999,0.68175491204600003,0.0203802562465,0.67065921665799999,0.55125413304799997,0.493165068629,0.75402242362899996,0.32934078334200001,151507,0.70018626356345004,0.67263701478600002
151508,GraphST,20,0.2673298617,0.0356795646,0.2009406192,0.3238860157,0.1229453965,0.3949201657,0.02062235165,0.4881163354,0.3596739374,0.3341550049,0.6083504461,0.5118836646,151508,,
151508,STAGATE,20,0.2814171181,0.05621359999,0.2015480986,0.4107281587,0.2091800601,0.4600916877,0.0385640686,0.5569643238,0.400666438,0.3700423476,0.7220065494,0.4430356762,151508,,
151508,SpaGCN,20,0.2855869126,0.03701250967,0.2203792071,0.3604845814,0.1401053744,0.4014458306,0.02912051506,0.459160335,0.3581923449,0.3226998549,0.5526782611,0.540839665,151508,,
151508,BANKSY,20,0.2504349992,0.06180718213,0.1898970008,0.3708336262,0.1809366254,0.4150793712,0.05599759996,0.5404965699,0.4352695215,0.3774281581,0.688730003,0.4595034301,151508,,
151508,SEDR,20,0.50804582683300004,0.0224035408608,0.44572576735399999,0.53210885144999998,0.086383084095599999,0.652057172307,0.013416142927499999,0.72159531608500005,0.55321488257600004,0.49288567879900003,0.78225852600099999,0.27840468391500001,151508,0.69190749830135001,0.65452939746500005
151509,GraphST,20,0.3068516078,0.04647948539,0.2661394937,0.4251023277,0.158962834,0.4723267459,0.0281007104,0.4477543285,0.3188348022,0.2898745137,0.5680593209,0.5522456715,151509,,
151509,STAGATE,20,0.4138940778,0.04138981151,0.3216535539,0.499627496,0.1779739421,0.5409774758,0.02513186625,0.7457305847,0.5126181058,0.4187090649,0.8046687237,0.2542694153,151509,,
151509,SpaGCN,20,0.3361308089,0.03845524017,0.2042837475,0.379367343,0.1750835955,0.4928156277,0.04118302025,0.5197228578,0.4060767475,0.3150616393,0.6280030944,0.4802771422,151509,,
151509,BANKSY,20,0.357908655,0.05354301445,0.2591342597,0.4811860441,0.2220517844,0.5651977921,0.03973613352,0.5067077553,0.3949892032,0.3447636323,0.6750709888,0.4932922447,151509,,
151509,SEDR,20,0.50814178812699995,0.088592859501500004,0.37799666250699998,0.75587680043100003,0.37788013792399999,0.65397253381300002,0.040138550534199999,0.60495269284499997,0.47437788042200002,0.389138898688,0.72401934694299996,0.39504730715500003,151509,0.65555620835554995,0.61194757886399997
