section,section_display,method,threshold,n_iso_accuracy_pairs,median_pairwise_partition_ari,minimum_pairwise_partition_ari,n_partition_ari_below_0_50,fraction_partition_ari_below_0_50
151669,151669,SpaGCN,0.02,63,0.4888880579,0.3377198492,32,0.5079365079
151669,151669,SpaGCN,0.03,90,0.4842740406,0.3377198492,48,0.5333333333
151669,151669,BANKSY,0.01,154,0.9964947384,0.9049249608,0,0
151669,151669,BANKSY,0.02,171,0.9957846183,0.9049249608,0,0
151669,151669,BANKSY,0.03,171,0.9957846183,0.9049249608,0,0
151669,151669,SEDR,0.01,33,0.62398954562999998,0.50777667084800004,0,0
151669,151669,SEDR,0.02,43,0.61987678647900002,0.50257086558399999,0,0
151669,151669,SEDR,0.029999999999999999,63,0.64545549698399995,0.50257086558399999,0,0
151670,151670,GraphST,0.01,29,0.3694636174,0.2931968976,26,0.8965517241
151670,151670,GraphST,0.02,62,0.3826615141,0.283434538,56,0.9032258065
151670,151670,GraphST,0.03,79,0.390889029,0.283434538,73,0.9240506329
151670,151670,STAGATE,0.01,13,0.666876468,0.5203169268,0,0
151670,151670,STAGATE,0.02,29,0.652264998,0.5203169268,0,0
151670,151670,STAGATE,0.03,42,0.6445376637,0.5203169268,0,0
151670,151670,SpaGCN,0.01,35,0.4036916679,0.3031185009,30,0.8571428571
151670,151670,SpaGCN,0.02,73,0.3934508229,0.3031185009,63,0.8630136986
151670,151670,SpaGCN,0.03,106,0.3959572421,0.2787050492,90,0.8490566038
151670,151670,BANKSY,0.01,13,0.9443937117,0.4574879187,1,0.07692307692
151670,151670,BANKSY,0.02,19,0.8601439712,0.4574879187,2,0.1052631579
151670,151670,BANKSY,0.03,28,0.8625813549,0.4574879187,2,0.07142857143
151670,151670,SEDR,0.01,30,0.61285678245599995,0.49682168662199999,1,0.033333333333299998
151670,151670,SEDR,0.02,48,0.60708910543399996,0.49682168662199999,1,0.020833333333300001
151670,151670,SEDR,0.029999999999999999,64,0.60155413505699995,0.46245612837200001,3,0.046875
151671,151671,GraphST,0.01,35,0.5652824937,0.4526758286,5,0.1428571429
151671,151671,GraphST,0.02,72,0.5648722931,0.4526758286,10,0.1388888889
151671,151671,GraphST,0.03,99,0.5620659066,0.4526758286,12,0.1212121212
151671,151671,STAGATE,0.01,32,0.7001906947,0.5662722948,0,0
151671,151671,STAGATE,0.02,70,0.7030891364,0.5463058442,0,0
151671,151671,STAGATE,0.03,101,0.7046116931,0.5463058442,0,0
151671,151671,SpaGCN,0.01,33,0.4789465442,0.3316005284,20,0.6060606061
151671,151671,SpaGCN,0.02,73,0.4743191471,0.3244887947,47,0.6438356164
151671,151671,SpaGCN,0.03,94,0.4674509729,0.3123553433,61,0.6489361702
151671,151671,BANKSY,0.01,99,0.9094463641,0.6028025091,0,0
151671,151671,BANKSY,0.02,133,0.8983011191,0.6028025091,0,0
151671,151671,BANKSY,0.03,142,0.8972636414,0.6028025091,0,0
151671,151671,SEDR,0.01,22,0.655374690564,0.49482737482299999,1,0.045454545454499999
151671,151671,SEDR,0.02,43,0.67166017536,0.49482737482299999,1,0.023255813953500001
151671,151671,SEDR,0.029999999999999999,60,0.67441868543600003,0.49482737482299999,1,0.016666666666700001
151672,151672,GraphST,0.01,38,0.4789305257,0.4172981687,27,0.7105263158
151672,151672,GraphST,0.02,74,0.4797150572,0.4172981687,53,0.7162162162
151672,151672,GraphST,0.03,111,0.4801413146,0.3543399242,77,0.6936936937
151672,151672,STAGATE,0.01,64,0.661978631,0.5257450824,0,0
151672,151672,STAGATE,0.02,120,0.6655128748,0.4988920527,1,0.008333333333
151672,151672,STAGATE,0.03,161,0.6583456762,0.4988920527,1,0.006211180124
151672,151672,SpaGCN,0.01,35,0.4166488748,0.2979315146,26,0.7428571429
151672,151672,SpaGCN,0.02,69,0.431182353,0.2979315146,57,0.8260869565
151672,151672,SpaGCN,0.03,110,0.4212633865,0.2979315146,97,0.8818181818
151672,151672,BANKSY,0.01,60,0.9146418969,0.7646694905,0,0
151672,151672,BANKSY,0.02,83,0.8721864084,0.7646694905,0,0
151672,151672,BANKSY,0.03,94,0.8735754395,0.7421153881,0,0
151672,151672,SEDR,0.01,34,0.78233348377199996,0.63810048396899999,0,0
151672,151672,SEDR,0.02,64,0.78233348377199996,0.61859591113800005,0,0
151672,151672,SEDR,0.029999999999999999,80,0.78185516850000003,0.60789857191999996,0,0
151673,151673,GraphST,0.01,77,0.6304173031,0.5308953214,0,0
151673,151673,GraphST,0.02,140,0.6203279574,0.5134564289,0,0
151673,151673,GraphST,0.03,173,0.6110425039,0.5051626716,0,0
151673,151673,STAGATE,0.01,34,0.7186723423,0.4134968562,4,0.1176470588
151673,151673,STAGATE,0.02,77,0.7105252172,0.4134968562,11,0.1428571429
151673,151673,STAGATE,0.03,109,0.7063711666,0.4134968562,12,0.1100917431
151673,151673,SpaGCN,0.01,34,0.551747073,0.4845646875,3,0.08823529412
151673,151673,SpaGCN,0.02,70,0.5529728944,0.4461465602,7,0.1
151673,151673,SpaGCN,0.03,91,0.5471817371,0.3967066164,16,0.1758241758
151673,151673,BANKSY,0.01,47,0.9644235944,0.5642720007,0,0
151673,151673,BANKSY,0.02,76,0.9314057552,0.5642720007,0,0
151673,151673,BANKSY,0.03,91,0.6074712847,0.552529926,0,0
151673,151673,SEDR,0.01,21,0.79190605095599997,0.54280929087200003,0,0
151673,151673,SEDR,0.02,44,0.79243238644199998,0.54280929087200003,0,0
151673,151673,SEDR,0.029999999999999999,65,0.78996834863800003,0.54280929087200003,0,0
151674,151674,GraphST,0.01,33,0.5898873966,0.5033333938,0,0
151674,151674,GraphST,0.02,77,0.5898873966,0.477848365,1,0.01298701299
151674,151674,GraphST,0.03,116,0.5884907881,0.4774120426,2,0.01724137931
151674,151674,STAGATE,0.01,42,0.5703554026,0.42872484,6,0.1428571429
151674,151674,STAGATE,0.02,95,0.5727774044,0.3938480227,20,0.2105263158
151674,151674,STAGATE,0.03,119,0.5679334007,0.3938480227,26,0.218487395
151674,151674,SpaGCN,0.01,64,0.7633299851,0.5478741783,0,0
151674,151674,SpaGCN,0.02,117,0.7526574555,0.5173664026,0,0
151674,151674,SpaGCN,0.03,146,0.7397942695,0.5029795785,0,0
151674,151674,BANKSY,0.01,68,0.9642703083,0.4695327839,1,0.01470588235
