section,section_display,method,seed_r,seed_s,pairwise_partition_ari,top50_marker_jaccard,marker_rank_spearman
151507,151507,GraphST,1,2,0.57688565999999997,0.85185184999999997,0.92538131000000001
151507,151507,GraphST,1,3,0.56989679000000004,0.85185184999999997,0.91338927999999997
151507,151507,GraphST,1,6,0.59099360999999995,0.88679244999999995,0.91937479
151507,151507,GraphST,1,7,0.44708545,0.81818181999999995,0.91526289000000005
151507,151507,GraphST,1,8,0.48410122,0.85185184999999997,0.90582202000000001
151507,151507,GraphST,1,9,0.43253913999999999,0.85185184999999997,0.90179624999999997
151507,151507,GraphST,1,10,0.46970107,0.81818181999999995,0.91673475999999998
151507,151507,GraphST,1,11,0.48034571999999998,0.85185184999999997,0.93452005999999999
151507,151507,GraphST,1,14,0.43759703999999999,0.72413793000000004,0.86488856000000003
151507,151507,GraphST,1,15,0.56247292000000004,0.88679244999999995,0.92990192999999999
151507,151507,GraphST,1,16,0.44942676999999998,0.75438596000000002,0.91230809999999996
151507,151507,GraphST,1,17,0.56479577000000003,0.81818181999999995,0.92925416999999999
151507,151507,GraphST,1,18,0.52243390000000001,0.78571429000000004,0.90845103999999999
151507,151507,GraphST,1,20,0.35525731999999999,0.72413793000000004,0.84672842999999998
151507,151507,GraphST,2,3,0.56477168,0.88679244999999995,0.91724877999999999
151507,151507,GraphST,2,6,0.59366848999999999,0.88679244999999995,0.91364047000000004
151507,151507,GraphST,2,9,0.46779878000000003,0.88679244999999995,0.91716421000000004
151507,151507,GraphST,2,10,0.47813239000000002,0.85185184999999997,0.93073008999999995
151507,151507,GraphST,2,12,0.49127964000000002,0.85185184999999997,0.89909722999999997
151507,151507,GraphST,2,14,0.41521419999999998,0.78571429000000004,0.84793306000000002
151507,151507,GraphST,2,15,0.57248204999999996,0.85185184999999997,0.93475043999999996
151507,151507,GraphST,2,16,0.44172306,0.81818181999999995,0.92678338999999998
151507,151507,GraphST,2,17,0.57329447,0.85185184999999997,0.92717212999999998
151507,151507,GraphST,2,18,0.56124861999999998,0.85185184999999997,0.92338365
151507,151507,GraphST,2,19,0.61351208000000002,0.88679244999999995,0.92319229999999997
151507,151507,GraphST,2,20,0.34781628999999997,0.72413793000000004,0.86498830000000004
151507,151507,GraphST,3,6,0.57559508999999998,0.85185184999999997,0.91506058000000001
151507,151507,GraphST,3,7,0.50158515000000004,0.88679244999999995,0.92781663000000003
151507,151507,GraphST,3,8,0.51311945999999997,0.81818181999999995,0.93696738999999996
151507,151507,GraphST,3,9,0.46896158999999998,0.81818181999999995,0.91375828999999997
151507,151507,GraphST,3,10,0.50963568000000004,0.85185184999999997,0.92611843999999999
151507,151507,GraphST,3,11,0.50964071,0.88679244999999995,0.92995771999999999
151507,151507,GraphST,3,14,0.42216101,0.78571429000000004,0.85835132999999997
151507,151507,GraphST,3,15,0.56540482000000003,0.85185184999999997,0.93500855999999999
151507,151507,GraphST,3,16,0.49322885,0.85185184999999997,0.92907116999999995
151507,151507,GraphST,3,17,0.55213814000000005,0.88679244999999995,0.92328900999999997
151507,151507,GraphST,3,18,0.53230049999999995,0.88679244999999995,0.90898909999999999
151507,151507,GraphST,3,19,0.579847,0.85185184999999997,0.93126808999999999
151507,151507,GraphST,3,20,0.37207213,0.69491524999999998,0.85547691999999997
151507,151507,GraphST,4,7,0.52546051999999999,0.69491524999999998,0.88719168999999998
151507,151507,GraphST,4,8,0.51924917000000004,0.66666667000000002,0.88677669999999997
151507,151507,GraphST,4,11,0.51010895999999994,0.69491524999999998,0.88599665000000005
151507,151507,GraphST,4,16,0.54267186999999995,0.78571429000000004,0.89927502000000004
151507,151507,GraphST,6,7,0.47414286999999999,0.81818181999999995,0.92230438999999997
151507,151507,GraphST,6,8,0.49896378000000002,0.85185184999999997,0.92377366000000005
151507,151507,GraphST,6,9,0.45879579999999998,0.85185184999999997,0.90773068000000001
151507,151507,GraphST,6,10,0.50532957999999994,0.85185184999999997,0.91750206999999995
151507,151507,GraphST,6,11,0.49449531000000002,0.88679244999999995,0.93177080000000001
151507,151507,GraphST,6,14,0.41575352999999998,0.75438596000000002,0.85473602000000004
151507,151507,GraphST,6,15,0.57020725000000005,0.85185184999999997,0.92785843999999995
151507,151507,GraphST,6,16,0.49332858000000002,0.81818181999999995,0.93604772000000003
151507,151507,GraphST,6,17,0.59495710999999996,0.88679244999999995,0.93611436000000003
151507,151507,GraphST,6,18,0.54913615999999998,0.81818181999999995,0.90291681999999995
151507,151507,GraphST,6,19,0.57266930999999999,0.85185184999999997,0.91146899999999997
151507,151507,GraphST,6,20,0.34825444,0.72413793000000004,0.83697356999999994
151507,151507,GraphST,7,8,0.53916200000000003,0.85185184999999997,0.93257192
151507,151507,GraphST,7,9,0.50676803999999998,0.85185184999999997,0.91825531000000005
151507,151507,GraphST,7,11,0.52840765999999995,0.88679244999999995,0.94043403999999997
151507,151507,GraphST,7,14,0.41307545000000001,0.78571429000000004,0.85283507999999997
151507,151507,GraphST,7,15,0.47860093999999997,0.81818181999999995,0.93797109000000001
151507,151507,GraphST,7,16,0.55844073000000005,0.81818181999999995,0.93023407999999996
151507,151507,GraphST,7,20,0.42924196999999997,0.72413793000000004,0.87143548999999998
151507,151507,GraphST,8,9,0.47577883999999998,0.85185184999999997,0.92416560000000003
151507,151507,GraphST,8,11,0.52917510999999995,0.88679244999999995,0.93920853999999998
151507,151507,GraphST,8,14,0.42327989999999999,0.72413793000000004,0.86492371000000001
151507,151507,GraphST,8,15,0.50255967000000001,0.85185184999999997,0.93322958
151507,151507,GraphST,8,16,0.53532142999999999,0.85185184999999997,0.93700503000000002
151507,151507,GraphST,8,17,0.49304491,0.81818181999999995,0.93113274999999995
151507,151507,GraphST,8,20,0.42679181999999999,0.72413793000000004,0.86566085999999998
151507,151507,GraphST,9,10,0.46855038999999998,0.81818181999999995,0.92336651000000003
151507,151507,GraphST,9,11,0.45494098999999999,0.85185184999999997,0.92878236999999997
151507,151507,GraphST,9,14,0.38973617999999999,0.72413793000000004,0.84830497999999999
151507,151507,GraphST,9,15,0.45143782999999998,0.85185184999999997,0.92648255000000002
151507,151507,GraphST,9,16,0.47791017000000002,0.85185184999999997,0.92575854000000002
151507,151507,GraphST,9,17,0.44380853999999997,0.78571429000000004,0.91499655000000002
151507,151507,GraphST,9,18,0.45540693999999998,0.85185184999999997,0.90995528999999997
151507,151507,GraphST,9,19,0.46302070000000001,0.81818181999999995,0.92105031999999998
151507,151507,GraphST,9,20,0.41395368999999999,0.72413793000000004,0.86451624000000005
151507,151507,GraphST,10,12,0.39326823999999999,0.78571429000000004,0.89462955
151507,151507,GraphST,10,13,0.42927015000000002,0.81818181999999995,0.90625118999999998
151507,151507,GraphST,10,14,0.36508997999999998,0.78571429000000004,0.85158908
151507,151507,GraphST,10,15,0.48427060999999999,0.85185184999999997,0.92988881999999995
151507,151507,GraphST,10,16,0.55552365000000004,0.81818181999999995,0.93005643000000005
151507,151507,GraphST,10,17,0.47862208000000001,0.88679244999999995,0.92625354000000004
151507,151507,GraphST,10,18,0.44541999999999998,0.85185184999999997,0.91970003
151507,151507,GraphST,10,19,0.46959647999999998,0.85185184999999997,0.92700963000000003
