section,dataset_display,method,n_iso_accuracy_pairs,spearman_partition_ari_vs_marker_jaccard,spearman_partition_ari_vs_top50_jaccard,spearman_partition_ari_vs_marker_rank_spearman,section_display,low_tertile_median_marker_jaccard,middle_tertile_median_marker_jaccard,high_tertile_median_marker_jaccard,high_minus_low_marker_jaccard
151673,151673,STAGATE,77,0.84653276,0.74896161000000006,0.80382774999999995,151673,,,,
151673,151673,SpaGCN,70,0.86309283000000003,0.81340952,0.84382818999999998,151673,,,,
151673,151673,BANKSY,76,0.77994808999999998,0.82620227999999996,0.80500682999999995,151673,,,,
151673,151673,SEDR,44,0.73886931720000004,0.77416536560000004,0.85665961950000002,151673,0.73913043479999996,0.80180180180000005,0.80999180999999998,0.070861375200000007
151674,151674,GraphST,77,0.76524075999999996,0.46423384000000001,0.63959723999999996,151674,,,,
151674,151674,STAGATE,95,0.67800437999999996,0.6313647,0.66086226000000003,151674,,,,
151674,151674,SpaGCN,117,0.77584315000000004,0.63372055000000005,0.77372657,151674,,,,
151674,151674,BANKSY,87,0.87454091,0.74756584000000004,0.95582880000000003,151674,,,,
151674,151674,SEDR,35,0.84244085859999995,0.89554887220000001,0.89355742299999996,151674,0.66678241540000005,0.6949152542,0.80180180180000005,0.1350193864
151675,151675,GraphST,115,0.0085231999999999999,0.28573175000000001,0.30755937999999999,151675,,,,
151675,151675,STAGATE,78,0.60310611999999997,0.58586459000000002,0.70409337000000005,151675,,,,
151675,151675,SpaGCN,98,0.81769046999999995,0.87279498,0.85569561000000005,151675,,,,
151675,151675,BANKSY,38,0.75635724000000004,0.85075646000000005,0.76154261000000001,151675,,,,
151675,151675,SEDR,52,0.77466097229999997,0.69480883069999999,0.64808332619999998,151675,0.63934426229999997,0.72413793100000001,0.78571428570000001,0.14637002339999999
151676,151676,GraphST,157,0.33910339,0.37988442,0.54420457,151676,,,,
151676,151676,STAGATE,111,0.19627411,0.46827540000000001,0.58803965999999996,151676,,,,
151676,151676,SpaGCN,122,0.77034137999999996,0.5327499,0.69493855000000004,151676,,,,
151676,151676,BANKSY,87,0.94432271999999995,0.95542797000000002,0.94429266000000001,151676,,,,
151676,151676,SEDR,51,0.66132170970000004,0.60673553039999994,0.68380090500000001,151676,0.72413793100000001,0.73913043479999996,0.78571428570000001,0.061576354700000002
STARmap,STARmap,GraphST,73,0.81013659000000005,0.81866563000000003,0.90287547999999995,STARmap,,,,
STARmap,STARmap,STAGATE,101,0.81725716000000004,0.79048432000000002,0.92437972999999996,STARmap,,,,
STARmap,STARmap,SpaGCN,26,0.85019789000000001,0.87254476999999997,0.92341879999999998,STARmap,,,,
STARmap,STARmap,BANKSY,102,0.82858527999999998,0.89702046999999996,0.89461089999999999,STARmap,,,,
STARmap,STARmap,SEDR,52,0.70398324540000001,0.83239707640000005,0.77336179370000002,STARmap,0.70940170940000002,0.83486238530000001,0.83486238530000001,0.12546067590000001
HBCA1,HBCA1,GraphST,74,0.60560088999999995,0.45952924000000001,0.47056646000000002,HBCA1,,,,
HBCA1,HBCA1,STAGATE,93,0.37918161,0.17503542,0.26555458999999998,HBCA1,,,,
HBCA1,HBCA1,SpaGCN,98,0.26229867000000001,0.22053165999999999,0.31879706000000002,HBCA1,,,,
HBCA1,HBCA1,BANKSY,77,0.63245901000000004,0.55042559000000002,0.70387507000000005,HBCA1,,,,
HBCA1,HBCA1,SEDR,66,0.67576728480000003,0.56018457830000001,0.68946874020000004,HBCA1,0.77428000080000003,0.81006493509999999,0.85201063190000004,0.077730631100000003
Bregma −0.04,,GraphST,86,0.55407600729999995,,,Bregma −0.04,0.86082741910000005,0.87896965419999995,0.90484829639999997,0.044020877280000002
Bregma −0.04,,STAGATE,27,0.54751015970000005,,,Bregma −0.04,0.86932215229999998,0.86981214500000004,0.9230769231,0.053754770739999999
Bregma −0.04,,SpaGCN,71,0.49963937359999999,,,Bregma −0.04,0.86956714869999996,0.87022075779999997,0.91391941389999998,0.04435226523
Bregma −0.04,,BANKSY,123,0.87809020739999999,,,Bregma −0.04,0.97049116680000003,0.98019801979999999,1,0.029508833240000001
Bregma −0.04,Bregma −0.04,SEDR,103,0.33869676999999998,0.35476986729999999,0.34962439049999999,Bregma −0.04,0.88948306600000004,0.91391941389999998,0.93707991040000005,0.047596844399999998
Bregma −0.09,,GraphST,48,0.17335348270000001,,,Bregma −0.09,0.90476190479999996,0.90026954179999996,0.91391941389999998,0.0091575091579999997
Bregma −0.09,,STAGATE,67,0.50924808909999997,,,Bregma −0.09,0.88679245279999996,0.90493468799999999,0.91391941389999998,0.027126961089999999
Bregma −0.09,,SpaGCN,36,0.81394872070000002,,,Bregma −0.09,0.89611790079999998,0.92316583090000004,0.94183909560000001,0.045721194819999998
Bregma −0.09,,BANKSY,126,0.92734425860000003,,,Bregma −0.09,0.98019801979999999,1,1,0.019801980199999999
