dataset,dataset_display,method,partition_ari_tertile,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,aligned_consensus_domain,unique_to_seed_r,shared_top100,unique_to_seed_s,top100_marker_jaccard_for_domain
151507,151507,GraphST,Low,7,14,0.01225945,0.41307545000000001,1,51,49,51,0.32450330999999999
151507,151507,GraphST,High,2,18,0.00182979,0.56124861999999998,1,11,89,11,0.80180180000000001
