section,method,unstable_marker_jaccard,stable_marker_jaccard,unstable_marker_rank_spearman,stable_marker_rank_spearman,context
151507,GraphST,0.5625,0.80180180000000001,0.86498830000000004,0.92538131000000001,DLPFC/STARmap/HBCA1
151507,STAGATE,0.76991149999999997,0.90476190000000001,0.89954584999999998,0.96559052000000001,DLPFC/STARmap/HBCA1
151507,SpaGCN,0.51515151999999997,0.78571429000000004,0.64081674,0.94353584000000001,DLPFC/STARmap/HBCA1
151507,BANKSY,0.61290323000000002,0.92307691999999997,0.75872762999999999,0.98139734999999995,DLPFC/STARmap/HBCA1
151508,GraphST,0.75438596000000002,0.83486238999999995,0.82324213000000002,0.92133376,DLPFC/STARmap/HBCA1
151508,STAGATE,0.81818181999999995,0.83486238999999995,0.90347390999999999,0.95587909000000004,DLPFC/STARmap/HBCA1
151508,SpaGCN,0.30718953999999998,0.76991149999999997,0.46919607000000002,0.84128793000000002,DLPFC/STARmap/HBCA1
151508,BANKSY,0.48148148000000002,0.90476190000000001,0.49786498000000001,0.98524009999999995,DLPFC/STARmap/HBCA1
151509,GraphST,0.51515151999999997,0.80180180000000001,0.50383575000000003,0.90597925000000001,DLPFC/STARmap/HBCA1
151509,STAGATE,0.76991149999999997,0.85185184999999997,0.86252059999999997,0.97636195999999997,DLPFC/STARmap/HBCA1
151509,SpaGCN,0.69491524999999998,0.85185184999999997,0.86128892000000001,0.95832773999999998,DLPFC/STARmap/HBCA1
151509,BANKSY,0.75438596000000002,0.96078430999999997,0.89485731000000002,0.99411070000000001,DLPFC/STARmap/HBCA1
151510,GraphST,0.72413793000000004,0.75438596000000002,0.81568529000000001,0.88399925000000001,DLPFC/STARmap/HBCA1
151510,STAGATE,0.47058823999999999,0.85185184999999997,0.81071026000000002,0.95613968999999999,DLPFC/STARmap/HBCA1
151510,SpaGCN,0.49253731000000001,0.78571429000000004,0.75750868000000005,0.93490691999999997,DLPFC/STARmap/HBCA1
151510,BANKSY,0.38888888999999999,0.86915887999999997,0.50294784999999997,0.96631177000000001,DLPFC/STARmap/HBCA1
151669,GraphST,0.45985400999999998,0.61290323000000002,0.80668651000000002,0.85336604000000005,DLPFC/STARmap/HBCA1
151669,STAGATE,0.59999999999999998,0.69491524999999998,0.90784319000000002,0.91090384000000002,DLPFC/STARmap/HBCA1
151669,SpaGCN,0.42857142999999998,0.69491524999999998,0.69375271999999999,0.84412047999999995,DLPFC/STARmap/HBCA1
151669,BANKSY,0.73913043,0.98019802,0.97318742999999996,0.99889324000000002,DLPFC/STARmap/HBCA1
151670,GraphST,0.45985400999999998,0.55038759999999998,0.79430540999999999,0.84701875000000004,DLPFC/STARmap/HBCA1
151670,STAGATE,0.36986300999999999,0.70940170999999996,0.68578766000000002,0.92016608,DLPFC/STARmap/HBCA1
151670,SpaGCN,0.16279070000000001,0.52671756000000003,0.17038581,0.79144543000000001,DLPFC/STARmap/HBCA1
151670,BANKSY,0.37931034000000002,0.86915887999999997,0.76143569,0.99281697000000002,DLPFC/STARmap/HBCA1
151671,GraphST,0.51515151999999997,0.62601625999999999,0.82104747,0.85660621999999997,DLPFC/STARmap/HBCA1
151671,STAGATE,0.50375939999999997,0.72413793000000004,0.68069089999999999,0.91457381000000004,DLPFC/STARmap/HBCA1
151671,SpaGCN,0.33333332999999998,0.70940170999999996,0.65374239999999995,0.91891626000000004,DLPFC/STARmap/HBCA1
151671,BANKSY,0.45985400999999998,0.83486238999999995,0.76359301999999996,0.98090274,DLPFC/STARmap/HBCA1
151672,GraphST,0.42857142999999998,0.51515151999999997,0.74402959999999996,0.84892922000000004,DLPFC/STARmap/HBCA1
151672,STAGATE,0.49253731000000001,0.55038759999999998,0.81401853999999996,0.86568385999999997,DLPFC/STARmap/HBCA1
151672,SpaGCN,0.37931034000000002,0.59999999999999998,0.70055487999999999,0.80630784,DLPFC/STARmap/HBCA1
151672,BANKSY,0.5625,1,0.83258058000000001,1,DLPFC/STARmap/HBCA1
151673,GraphST,0.65289255999999996,0.80180180000000001,0.91376088,0.93181588000000004,DLPFC/STARmap/HBCA1
151673,STAGATE,0.55038759999999998,0.83486238999999995,0.78695672000000005,0.95804882999999996,DLPFC/STARmap/HBCA1
151673,SpaGCN,0.34228187999999998,0.70940170999999996,0.76162348000000002,0.93742475000000003,DLPFC/STARmap/HBCA1
151673,BANKSY,0.92307691999999997,0.88679244999999995,0.98492086000000001,0.98742969999999997,DLPFC/STARmap/HBCA1
151674,GraphST,0.66666667000000002,0.80180180000000001,0.86628759,0.90453755999999996,DLPFC/STARmap/HBCA1
151674,STAGATE,0.55038759999999998,0.83486238999999995,0.75527297999999998,0.93569060000000004,DLPFC/STARmap/HBCA1
151674,SpaGCN,0.55038759999999998,0.83486238999999995,0.86797396000000004,0.94948549000000004,DLPFC/STARmap/HBCA1
151674,BANKSY,0.68067226999999997,0.76991149999999997,0.91941421999999995,0.94322722000000003,DLPFC/STARmap/HBCA1
151675,GraphST,0.66666667000000002,0.73913043,0.92199686999999997,0.92592266999999995,DLPFC/STARmap/HBCA1
151675,STAGATE,0.45985400999999998,0.76991149999999997,0.74535233000000001,0.92227555000000006,DLPFC/STARmap/HBCA1
151675,SpaGCN,0.41843972000000001,0.90476190000000001,0.69748231999999999,0.96234063999999997,DLPFC/STARmap/HBCA1
151675,BANKSY,0.58730159000000004,0.5625,0.86601795000000004,0.91263355000000002,DLPFC/STARmap/HBCA1
151676,GraphST,0.78571429000000004,0.78571429000000004,0.89080075000000003,0.92075496999999995,DLPFC/STARmap/HBCA1
151676,STAGATE,0.83486238999999995,0.86915887999999997,0.85511985000000001,0.92431426000000005,DLPFC/STARmap/HBCA1
151676,SpaGCN,0.58730159000000004,0.81818181999999995,0.91060890000000005,0.95548670999999996,DLPFC/STARmap/HBCA1
151676,BANKSY,0.55038759999999998,0.58730159000000004,0.84979088999999997,0.91810930999999996,DLPFC/STARmap/HBCA1
STARmap,GraphST,0.51515151999999997,0.76991149999999997,0.81744015999999997,0.95567906000000002,DLPFC/STARmap/HBCA1
STARmap,STAGATE,0.65289255999999996,0.80180180000000001,0.90627793000000001,0.96584842000000004,DLPFC/STARmap/HBCA1
STARmap,SpaGCN,0.52671756000000003,0.73913043,0.73970678999999995,0.94191849000000005,DLPFC/STARmap/HBCA1
STARmap,BANKSY,0.80180180000000001,0.90476190000000001,0.96735859999999996,0.98923099000000003,DLPFC/STARmap/HBCA1
HBCA1,GraphST,0.65977960999999996,0.75452096999999996,0.85423760000000004,0.90659069000000003,DLPFC/STARmap/HBCA1
HBCA1,STAGATE,0.7024051,0.74675820000000004,0.85623791000000005,0.92696959999999995,DLPFC/STARmap/HBCA1
HBCA1,SpaGCN,0.70940170999999996,0.75438596000000002,0.90786789999999995,0.89617036000000005,DLPFC/STARmap/HBCA1
HBCA1,BANKSY,0.74702471999999998,0.90476190000000001,0.91213842000000001,0.98296963999999998,DLPFC/STARmap/HBCA1
