section,method,seed_r,seed_s,ari_r,ari_s,abs_reference_ari_difference,pairwise_partition_ari,pairwise_partition_nmi,section_display
151507,GraphST,7,8,0.273256454,0.2715787728,0.001677681146,0.5391619981,0.6241858719,151507
151507,GraphST,7,9,0.273256454,0.2585390237,0.0147174303,0.5067680386,0.6018885045,151507
151507,GraphST,7,11,0.273256454,0.2744082524,0.001151798437,0.5284076572,0.6165659814,151507
151507,GraphST,7,14,0.273256454,0.2609970017,0.01225945224,0.4130754452,0.5684060806,151507
151507,GraphST,7,15,0.273256454,0.2589666695,0.01428978449,0.4786009414,0.6062451044,151507
151507,GraphST,7,16,0.273256454,0.2641300999,0.009126354125,0.5584407349,0.6229569812,151507
151507,GraphST,7,20,0.273256454,0.2619226734,0.01133378059,0.4292419738,0.5728251764,151507
151507,GraphST,8,9,0.2715787728,0.2585390237,0.01303974915,0.475778839,0.5920239151,151507
151507,GraphST,8,11,0.2715787728,0.2744082524,0.002829479583,0.5291751149,0.6190855937,151507
151507,GraphST,8,14,0.2715787728,0.2609970017,0.0105817711,0.4232799014,0.5754680689,151507
151507,GraphST,8,15,0.2715787728,0.2589666695,0.01261210334,0.5025596737,0.6136307052,151507
151507,GraphST,8,16,0.2715787728,0.2641300999,0.007448672979,0.5353214344,0.6162832387,151507
151507,GraphST,8,17,0.2715787728,0.2524234943,0.01915527854,0.4930449089,0.6039752555,151507
151507,GraphST,8,20,0.2715787728,0.2619226734,0.009656099444,0.4267918168,0.5710490718,151507
151507,GraphST,9,10,0.2585390237,0.2449556832,0.01358334053,0.46855039,0.5726066277,151507
151507,GraphST,9,11,0.2585390237,0.2744082524,0.01586922873,0.4549409909,0.5812850755,151507
151507,GraphST,9,14,0.2585390237,0.2609970017,0.002457978056,0.3897361755,0.5601464694,151507
151507,GraphST,9,15,0.2585390237,0.2589666695,0.0004276458082,0.4514378308,0.5835475153,151507
151507,GraphST,9,16,0.2585390237,0.2641300999,0.005591076173,0.4779101722,0.5863415978,151507
151507,GraphST,9,17,0.2585390237,0.2524234943,0.006115529384,0.4438085416,0.5766379293,151507
151507,GraphST,9,18,0.2585390237,0.2505084057,0.008030618028,0.4554069356,0.5774330666,151507
151507,GraphST,9,19,0.2585390237,0.2388843565,0.01965466714,0.4630207034,0.5902719558,151507
151507,GraphST,9,20,0.2585390237,0.2619226734,0.003383649707,0.413953688,0.5537824563,151507
151507,GraphST,10,12,0.2449556832,0.2359170649,0.009038618215,0.3932682439,0.5602642593,151507
151507,GraphST,10,13,0.2449556832,0.2262248319,0.01873085122,0.4292701514,0.5828906901,151507
151507,GraphST,10,14,0.2449556832,0.2609970017,0.01604131858,0.3650899803,0.5335314826,151507
151507,GraphST,10,15,0.2449556832,0.2589666695,0.01401098634,0.4842706093,0.6031470278,151507
151507,GraphST,10,16,0.2449556832,0.2641300999,0.0191744167,0.5555236452,0.617436569,151507
151507,GraphST,10,17,0.2449556832,0.2524234943,0.007467811144,0.4786220827,0.5922784196,151507
151507,GraphST,10,18,0.2449556832,0.2505084057,0.0055527225,0.4454199977,0.5803881993,151507
151507,GraphST,10,19,0.2449556832,0.2388843565,0.006071326614,0.4695964805,0.6074386704,151507
151507,GraphST,10,20,0.2449556832,0.2619226734,0.01696699024,0.3885242796,0.5415214271,151507
151507,GraphST,11,14,0.2744082524,0.2609970017,0.01341125068,0.3946277574,0.5467725525,151507
151507,GraphST,11,15,0.2744082524,0.2589666695,0.01544158293,0.497226654,0.6128683425,151507
151507,GraphST,11,16,0.2744082524,0.2641300999,0.01027815256,0.5745209729,0.6422102086,151507
151507,GraphST,11,20,0.2744082524,0.2619226734,0.01248557903,0.4107927785,0.5506270212,151507
151507,GraphST,12,13,0.2359170649,0.2262248319,0.009692233009,0.3536200311,0.5723411382,151507
151507,GraphST,12,17,0.2359170649,0.2524234943,0.01650642936,0.4322510182,0.573569064,151507
151507,GraphST,12,18,0.2359170649,0.2505084057,0.01459134072,0.4662348863,0.5978768109,151507
151507,GraphST,12,19,0.2359170649,0.2388843565,0.002967291601,0.4882310985,0.6060420292,151507
151507,GraphST,13,19,0.2262248319,0.2388843565,0.01265952461,0.4124197967,0.5789509888,151507
151507,GraphST,14,15,0.2609970017,0.2589666695,0.002030332248,0.4222663647,0.5720145133,151507
151507,GraphST,14,16,0.2609970017,0.2641300999,0.003133098117,0.3879636057,0.5398085121,151507
151507,GraphST,14,17,0.2609970017,0.2524234943,0.00857350744,0.4136725093,0.5550999475,151507
151507,GraphST,14,18,0.2609970017,0.2505084057,0.01048859608,0.4127821044,0.5706002728,151507
151507,GraphST,14,20,0.2609970017,0.2619226734,0.0009256716513,0.4625307487,0.5910348735,151507
151507,GraphST,15,16,0.2589666695,0.2641300999,0.005163430364,0.4715324909,0.5976117219,151507
151507,GraphST,15,17,0.2589666695,0.2524234943,0.006543175192,0.5625535706,0.6323863912,151507
151507,GraphST,15,18,0.2589666695,0.2505084057,0.008458263836,0.5274835055,0.6257633157,151507
151507,GraphST,15,20,0.2589666695,0.2619226734,0.002956003899,0.357321211,0.5339069058,151507
151507,GraphST,16,17,0.2641300999,0.2524234943,0.01170660556,0.4684173015,0.5991561101,151507
151507,GraphST,16,18,0.2641300999,0.2505084057,0.0136216942,0.4381474684,0.5964798891,151507
151507,GraphST,16,20,0.2641300999,0.2619226734,0.002207426465,0.4115434403,0.5507878172,151507
151507,GraphST,17,18,0.2524234943,0.2505084057,0.001915088644,0.5250131978,0.6131162396,151507
151507,GraphST,17,19,0.2524234943,0.2388843565,0.01353913776,0.5546199076,0.6327333519,151507
151507,GraphST,17,20,0.2524234943,0.2619226734,0.009499179091,0.3557336668,0.5299507121,151507
151507,GraphST,18,19,0.2505084057,0.2388843565,0.01162404911,0.5412108451,0.6118682365,151507
151507,GraphST,18,20,0.2505084057,0.2619226734,0.01141426774,0.3574851258,0.5365998789,151507
151507,STAGATE,1,2,0.2512988965,0.2383313522,0.01296754425,0.5497277784,0.6822760994,151507
151507,STAGATE,1,3,0.2512988965,0.2480230559,0.003275840566,0.856274592,0.8513435008,151507
151507,STAGATE,1,5,0.2512988965,0.2414256277,0.009873268759,0.8298522313,0.8348170938,151507
151507,STAGATE,1,6,0.2512988965,0.252721638,0.001422741466,0.8475418272,0.8420787844,151507
151507,STAGATE,1,9,0.2512988965,0.242950889,0.008348007476,0.823451632,0.826372463,151507
151507,STAGATE,1,12,0.2512988965,0.2524899087,0.001191012214,0.8264272254,0.8316011501,151507
151507,STAGATE,1,13,0.2512988965,0.2681429087,0.01684401225,0.8123782654,0.8205922178,151507
151507,STAGATE,1,14,0.2512988965,0.2448406731,0.006458223396,0.5606635692,0.681227453,151507
151507,STAGATE,1,15,0.2512988965,0.2375497612,0.01374913526,0.8390623684,0.8251580031,151507
151507,STAGATE,1,16,0.2512988965,0.244493334,0.00680556244,0.8317650259,0.8384483148,151507
151507,STAGATE,1,17,0.2512988965,0.242500329,0.008798567453,0.8486042639,0.8389549249,151507
151507,STAGATE,1,19,0.2512988965,0.250086085,0.001212811464,0.8300964847,0.8291627335,151507
151507,STAGATE,2,3,0.2383313522,0.2480230559,0.00969170368,0.5661688496,0.6918325987,151507
151507,STAGATE,2,4,0.2383313522,0.2250664111,0.01326494118,0.3221471531,0.5434600643,151507
151507,STAGATE,2,5,0.2383313522,0.2414256277,0.003094275487,0.5733360424,0.6927760077,151507
151507,STAGATE,2,6,0.2383313522,0.252721638,0.01439028571,0.5574184489,0.6923908358,151507
151507,STAGATE,2,9,0.2383313522,0.242950889,0.00461953677,0.5642703728,0.6894755714,151507
151507,STAGATE,2,12,0.2383313522,0.2524899087,0.01415855646,0.5518256119,0.6764529742,151507
151507,STAGATE,2,14,0.2383313522,0.2448406731,0.00650932085,0.8865152579,0.8195727706,151507
151507,STAGATE,2,15,0.2383313522,0.2375497612,0.0007815910143,0.5590837647,0.6844321318,151507
151507,STAGATE,2,16,0.2383313522,0.244493334,0.006161981806,0.5759728332,0.6943568982,151507
151507,STAGATE,2,17,0.2383313522,0.242500329,0.004168976793,0.5659997452,0.6913312291,151507
151507,STAGATE,2,19,0.2383313522,0.250086085,0.01175473278,0.5650417819,0.6978173622,151507
151507,STAGATE,3,5,0.2480230559,0.2414256277,0.006597428193,0.8565059995,0.8512849497,151507
151507,STAGATE,3,6,0.2480230559,0.252721638,0.004698582032,0.8592669879,0.8510388446,151507
151507,STAGATE,3,9,0.2480230559,0.242950889,0.00507216691,0.8304572158,0.8299063411,151507
151507,STAGATE,3,12,0.2480230559,0.2524899087,0.00446685278,0.8068696274,0.8228054043,151507
151507,STAGATE,3,14,0.2480230559,0.2448406731,0.00318238283,0.5706478535,0.6903170947,151507
151507,STAGATE,3,15,0.2480230559,0.2375497612,0.01047329469,0.8348754523,0.8266936435,151507
151507,STAGATE,3,16,0.2480230559,0.244493334,0.003529721875,0.8369463285,0.8379475625,151507
151507,STAGATE,3,17,0.2480230559,0.242500329,0.005522726888,0.8396043035,0.8341770306,151507
151507,STAGATE,3,19,0.2480230559,0.250086085,0.002063029102,0.8247412025,0.8272193124,151507
151507,STAGATE,4,5,0.2250664111,0.2414256277,0.01635921666,0.5261165387,0.6814913166,151507
151507,STAGATE,4,9,0.2250664111,0.242950889,0.01788447795,0.5367883292,0.6858042271,151507
151507,STAGATE,4,14,0.2250664111,0.2448406731,0.01977426203,0.3237079691,0.5413118429,151507
151507,STAGATE,4,15,0.2250664111,0.2375497612,0.01248335016,0.5440996006,0.6856933145,151507
151507,STAGATE,4,16,0.2250664111,0.244493334,0.01942692298,0.5202540459,0.6767032755,151507
151507,STAGATE,4,17,0.2250664111,0.242500329,0.01743391797,0.5388633912,0.686200261,151507
151507,STAGATE,5,6,0.2414256277,0.252721638,0.01129601023,0.8391191068,0.8397495328,151507
151507,STAGATE,5,9,0.2414256277,0.242950889,0.001525261283,0.8360054922,0.8327667824,151507
151507,STAGATE,5,12,0.2414256277,0.2524899087,0.01106428097,0.8275701124,0.8353364657,151507
151507,STAGATE,5,14,0.2414256277,0.2448406731,0.003415045363,0.5838838951,0.6932396776,151507
151507,STAGATE,5,15,0.2414256277,0.2375497612,0.003875866501,0.8339498754,0.8332553828,151507
151507,STAGATE,5,16,0.2414256277,0.244493334,0.003067706319,0.8630687501,0.8524545886,151507
151507,STAGATE,5,17,0.2414256277,0.242500329,0.001074701306,0.8603004452,0.8491510273,151507
151507,STAGATE,5,19,0.2414256277,0.250086085,0.008660457295,0.829784148,0.8344492758,151507
151507,STAGATE,6,9,0.252721638,0.242950889,0.009770748942,0.8439976089,0.8385819578,151507
151507,STAGATE,6,12,0.252721638,0.2524899087,0.0002317292521,0.8350440596,0.8375815354,151507
151507,STAGATE,6,13,0.252721638,0.2681429087,0.01542127078,0.8315289132,0.8404188863,151507
151507,STAGATE,6,14,0.252721638,0.2448406731,0.007880964863,0.5634119606,0.6948870493,151507
151507,STAGATE,6,15,0.252721638,0.2375497612,0.01517187673,0.8428600467,0.8288364194,151507
151507,STAGATE,6,16,0.252721638,0.244493334,0.008228303907,0.8449486584,0.8468473103,151507
151507,STAGATE,6,17,0.252721638,0.242500329,0.01022130892,0.8599066636,0.8482718223,151507
151507,STAGATE,6,19,0.252721638,0.250086085,0.00263555293,0.8431983517,0.8369951265,151507
151507,STAGATE,7,8,0.4048739996,0.3926048364,0.01226916317,0.6077004439,0.7316273335,151507
151507,STAGATE,7,11,0.4048739996,0.4170051092,0.01213110962,0.5869732907,0.6869935232,151507
151507,STAGATE,8,10,0.3926048364,0.3765858316,0.01601900486,0.8071987706,0.8055391826,151507
151507,STAGATE,9,12,0.242950889,0.2524899087,0.00953901969,0.8088627618,0.8181358864,151507
151507,STAGATE,9,14,0.242950889,0.2448406731,0.00188978408,0.5627690935,0.6748389605,151507
151507,STAGATE,9,15,0.242950889,0.2375497612,0.005401127785,0.8235007736,0.8213201101,151507
151507,STAGATE,9,16,0.242950889,0.244493334,0.001542445035,0.8189357719,0.8232837505,151507
