section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
STARmap,STARmap,SpaGCN,Low,9,0.43415261999999999,0.51515151999999997,0.51515151999999997,0.80019046000000005,STARmap
STARmap,STARmap,SpaGCN,Middle,9,0.56710331999999997,0.61290323000000002,0.63934426,0.90851574000000002,STARmap
STARmap,STARmap,BANKSY,High,34,0.98242218000000003,0.96078430999999997,1,0.99853139000000002,STARmap
STARmap,STARmap,BANKSY,Low,34,0.88835297999999996,0.80180180000000001,0.81818181999999995,0.97013514999999995,STARmap
STARmap,STARmap,BANKSY,Middle,34,0.94500521000000004,0.88679244999999995,0.92307691999999997,0.98880773,STARmap
STARmap,STARmap,SEDR,High,17,0.8620002886,0.83486238530000001,0.85185185190000001,0.9777788194,STARmap
STARmap,STARmap,SEDR,Low,18,0.75821059160000004,0.70940170940000002,0.6949152542,0.93189387800000001,STARmap
STARmap,STARmap,SEDR,Middle,17,0.81757702109999997,0.83486238530000001,0.78571428570000001,0.97697804060000004,STARmap
HBCA1,HBCA1,GraphST,High,24,0.72786591,0.72846303000000001,0.75438596000000002,0.89340463000000003,HBCA1
HBCA1,HBCA1,GraphST,Low,25,0.62220754,0.68067226999999997,0.69540230000000003,0.86451990000000001,HBCA1
HBCA1,HBCA1,GraphST,Middle,25,0.69613778000000004,0.72413793000000004,0.70952658999999996,0.87037463999999998,HBCA1
HBCA1,HBCA1,STAGATE,High,31,0.81137873999999999,0.74675820000000004,0.72465060999999997,0.9027094,HBCA1
HBCA1,HBCA1,STAGATE,Low,31,0.77195179000000003,0.72465060999999997,0.72413793000000004,0.89012891000000005,HBCA1
HBCA1,HBCA1,STAGATE,Middle,31,0.79187545000000004,0.73913043,0.70952658999999996,0.89669509999999997,HBCA1
HBCA1,HBCA1,SpaGCN,High,32,0.73937379999999997,0.75438596000000002,0.75438596000000002,0.90677397000000004,HBCA1
HBCA1,HBCA1,SpaGCN,Low,33,0.67394195000000001,0.70952658999999996,0.72413793000000004,0.88682304000000001,HBCA1
HBCA1,HBCA1,SpaGCN,Middle,33,0.70873430000000004,0.72413793000000004,0.72413793000000004,0.88748996999999996,HBCA1
HBCA1,HBCA1,BANKSY,High,25,0.93870540999999996,0.90476190000000001,0.88679244999999995,0.98104919999999995,HBCA1
HBCA1,HBCA1,BANKSY,Low,26,0.88075418000000005,0.84335711999999996,0.82780301999999995,0.95304458000000003,HBCA1
HBCA1,HBCA1,BANKSY,Middle,26,0.91622062000000004,0.86050537000000005,0.85185184999999997,0.96963147000000005,HBCA1
HBCA1,HBCA1,SEDR,High,22,0.76288458849999996,0.85201063190000004,0.87805730260000003,0.94717563500000002,HBCA1
HBCA1,HBCA1,SEDR,Low,22,0.59528285319999996,0.77428000080000003,0.78856887249999996,0.90860272500000006,HBCA1
HBCA1,HBCA1,SEDR,Middle,22,0.67198122959999995,0.81006493509999999,0.83501683500000001,0.93775932630000003,HBCA1
Bregma −0.04,,GraphST,High,28,0.49305131000000002,0.90484829639999997,0.81818181820000002,0.96925252169999998,Bregma −0.04
Bregma −0.04,,GraphST,Low,29,0.2750405501,0.86082741910000005,0.75492610839999996,0.94011794660000003,Bregma −0.04
Bregma −0.04,,GraphST,Middle,29,0.36679591719999999,0.87896965419999995,0.77338355299999995,0.94915890560000005,Bregma −0.04
Bregma −0.04,,STAGATE,High,9,0.68980503569999996,0.9230769231,0.88679245279999996,0.98870484349999999,Bregma −0.04
Bregma −0.04,,STAGATE,Low,9,0.41421177139999998,0.86932215229999998,0.75492610839999996,0.95003222580000002,Bregma −0.04
Bregma −0.04,,STAGATE,Middle,9,0.56268999500000005,0.86981214500000004,0.75654853619999995,0.93038413200000003,Bregma −0.04
