section,method,seed_r,seed_s,ari_r,ari_s,abs_reference_ari_difference,pairwise_partition_ari,section_display,example_type
151669,GraphST,2,3,0.18503206783963949,0.1735567706757877,0.011475297163851801,0.3737561818299916,151669,Additional deterministic example
151510,STAGATE,4,10,0.32222707053824517,0.3319247251338952,0.0096976545956499998,0.38116001999225879,151510,Additional deterministic example
151672,SpaGCN,10,13,0.26006693158416783,0.25712888275229018,0.0029380488318775,0.29793151456735251,151672,Additional deterministic example
151509,BANKSY,11,13,0.28469923088415561,0.28823517063427501,0.0035359397501193001,0.4864797502962131,151509,Additional deterministic example
Bregma −0.04,GraphST,7,14,0.2124846685,0.2242168937,0.011732225170000001,0.23029828229999999,Bregma −0.04,Deterministically selected MERFISH example
