section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,section_display,n_cells,n_genes
151507,BANKSY,16,0.2078154474,0.4108524189,4226.0,7,151507,,
151507,BANKSY,17,0.2460558298,0.4764666733,4226.0,7,151507,,
151507,BANKSY,18,0.2445196607,0.4756123075,4226.0,7,151507,,
151507,BANKSY,19,0.326154738,0.5410687424,4226.0,7,151507,,
151507,BANKSY,20,0.3076839187,0.4917093284,4226.0,7,151507,,
151507,SEDR,1,0.535641578409,0.6889681609879998,4226.0,7,151507,4226.0,18430.0
151507,SEDR,2,0.512734825681,0.681886871853,4226.0,7,151507,4226.0,18430.0
151507,SEDR,3,0.4841615158579999,0.6353729868499999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,4,0.5470754240359998,0.6865280851249999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,5,0.530051938141,0.689470325127,4226.0,7,151507,4226.0,18430.0
151507,SEDR,6,0.5751956631929999,0.695110728083,4226.0,7,151507,4226.0,18430.0
151507,SEDR,7,0.548447744293,0.6981283387779998,4226.0,7,151507,4226.0,18430.0
151507,SEDR,8,0.540369798413,0.6971365645039999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,9,0.545958780004,0.705429143693,4226.0,7,151507,4226.0,18430.0
151507,SEDR,10,0.501363571457,0.6645031829559999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,11,0.5746814696509999,0.7052399641919999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,12,0.540135494086,0.6831544286459998,4226.0,7,151507,4226.0,18430.0
151507,SEDR,13,0.5243244784749999,0.6519396842169999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,14,0.528923315731,0.6727870781929999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,15,0.5153255506039999,0.6703367994929998,4226.0,7,151507,4226.0,18430.0
151507,SEDR,16,0.5125800722069999,0.664900409236,4226.0,7,151507,4226.0,18430.0
151507,SEDR,17,0.499251451118,0.652259924135,4226.0,7,151507,4226.0,18430.0
151507,SEDR,18,0.524274400206,0.68162295224,4226.0,7,151507,4226.0,18430.0
151507,SEDR,19,0.512600613903,0.6693544458279999,4226.0,7,151507,4226.0,18430.0
151507,SEDR,20,0.4339164870669999,0.64181142294,4226.0,7,151507,4226.0,18430.0
151508,GraphST,1,0.2911936195,0.4192146932,4384.0,7,151508,,
151508,GraphST,2,0.2790949192,0.3938707367,4384.0,7,151508,,
151508,GraphST,3,0.2252024206,0.3616111673,4384.0,7,151508,,
151508,GraphST,4,0.2507815971,0.3856360404,4384.0,7,151508,,
151508,GraphST,5,0.2149562632,0.3618527841,4384.0,7,151508,,
151508,GraphST,6,0.2881862041,0.4006649737,4384.0,7,151508,,
151508,GraphST,7,0.2401343341,0.368695793,4384.0,7,151508,,
151508,GraphST,8,0.263413608,0.3895359386,4384.0,7,151508,,
151508,GraphST,9,0.2291519523,0.3648603551,4384.0,7,151508,,
151508,GraphST,10,0.2849632402,0.403614169,4384.0,7,151508,,
151508,GraphST,11,0.3070816781,0.4057164814,4384.0,7,151508,,
151508,GraphST,12,0.2952258136,0.4018366216,4384.0,7,151508,,
151508,GraphST,13,0.2287761428,0.3754533544,4384.0,7,151508,,
151508,GraphST,14,0.3154080547,0.435623694,4384.0,7,151508,,
151508,GraphST,15,0.2953946884,0.4035455071,4384.0,7,151508,,
151508,GraphST,16,0.2629150801,0.3846088519,4384.0,7,151508,,
151508,GraphST,17,0.2009406192,0.3981262105,4384.0,7,151508,,
151508,GraphST,18,0.2712461153,0.3959695946,4384.0,7,151508,,
151508,GraphST,19,0.3238860157,0.4190883573,4384.0,7,151508,,
151508,GraphST,20,0.2319177699,0.368954739,4384.0,7,151508,,
151508,STAGATE,1,0.2061796873,0.4057709416,4384.0,7,151508,,
151508,STAGATE,2,0.4107281587,0.5301332824,4384.0,7,151508,,
151508,STAGATE,3,0.2080242141,0.407197607,4384.0,7,151508,,
151508,STAGATE,4,0.2848153437,0.4594687042,4384.0,7,151508,,
151508,STAGATE,5,0.2530199545,0.4969868583,4384.0,7,151508,,
151508,STAGATE,6,0.2740016391,0.4778256119,4384.0,7,151508,,
151508,STAGATE,7,0.2084034595,0.4010680763,4384.0,7,151508,,
151508,STAGATE,8,0.2020511904,0.4091969581,4384.0,7,151508,,
151508,STAGATE,9,0.295229936,0.488603718,4384.0,7,151508,,
151508,STAGATE,10,0.3313631644,0.4677192957,4384.0,7,151508,,
151508,STAGATE,11,0.3304517983,0.4867935609,4384.0,7,151508,,
151508,STAGATE,12,0.2815948711,0.4502435893,4384.0,7,151508,,
151508,STAGATE,13,0.2129530104,0.4060404719,4384.0,7,151508,,
151508,STAGATE,14,0.2015480986,0.4033865886,4384.0,7,151508,,
151508,STAGATE,15,0.2823466292,0.4582041329,4384.0,7,151508,,
151508,STAGATE,16,0.281239365,0.4771021214,4384.0,7,151508,,
151508,STAGATE,17,0.2817678412,0.4811004676,4384.0,7,151508,,
151508,STAGATE,18,0.2098988613,0.4106521189,4384.0,7,151508,,
151508,STAGATE,19,0.3250999853,0.4607146713,4384.0,7,151508,,
