section,section_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top100_marker_jaccard
151507,151507,GraphST,1,2,0.01296393,0.57688565999999997,0.80180180000000001
151507,151507,GraphST,1,3,0.0028723300000000002,0.56989679000000004,0.81818181999999995
151507,151507,GraphST,1,6,0.00282723,0.59099360999999995,0.83486238999999995
151507,151507,GraphST,1,7,0.01161391,0.44708545,0.78571429000000004
151507,151507,GraphST,1,8,0.0099362300000000008,0.48410122,0.83486238999999995
151507,151507,GraphST,1,9,0.0031035199999999998,0.43253913999999999,0.78571429000000004
151507,151507,GraphST,1,10,0.016686860000000001,0.46970107,0.83486238999999995
151507,151507,GraphST,1,11,0.01276571,0.48034571999999998,0.83486238999999995
151507,151507,GraphST,1,14,0.00064554,0.43759703999999999,0.72413793000000004
151507,151507,GraphST,1,15,0.0026758699999999999,0.56247292000000004,0.83486238999999995
151507,151507,GraphST,1,16,0.0024875600000000002,0.44942676999999998,0.81818181999999995
151507,151507,GraphST,1,17,0.0092190499999999995,0.56479577000000003,0.81818181999999995
151507,151507,GraphST,1,18,0.011134130000000001,0.52243390000000001,0.78571429000000004
151507,151507,GraphST,1,20,0.00028013000000000002,0.35525731999999999,0.58730159000000004
151507,151507,GraphST,2,3,0.010091599999999999,0.56477168,0.80180180000000001
151507,151507,GraphST,2,6,0.0101367,0.59366848999999999,0.80180180000000001
151507,151507,GraphST,2,9,0.00986041,0.46779878000000003,0.83486238999999995
151507,151507,GraphST,2,10,0.0037229300000000002,0.47813239000000002,0.81818181999999995
151507,151507,GraphST,2,12,0.01276155,0.49127964000000002,0.78571429000000004
151507,151507,GraphST,2,14,0.01231839,0.41521419999999998,0.72413793000000004
151507,151507,GraphST,2,15,0.01028805,0.57248204999999996,0.80180180000000001
151507,151507,GraphST,2,16,0.01545148,0.44172306,0.80180180000000001
151507,151507,GraphST,2,17,0.0037448799999999999,0.57329447,0.80180180000000001
151507,151507,GraphST,2,18,0.00182979,0.56124861999999998,0.80180180000000001
151507,151507,GraphST,2,19,0.0097942600000000008,0.61351208000000002,0.80180180000000001
151507,151507,GraphST,2,20,0.01324406,0.34781628999999997,0.5625
151507,151507,GraphST,3,6,4.5099999999999998e-05,0.57559508999999998,0.85185184999999997
151507,151507,GraphST,3,7,0.014486239999999999,0.50158515000000004,0.80180180000000001
151507,151507,GraphST,3,8,0.01280856,0.51311945999999997,0.80180180000000001
151507,151507,GraphST,3,9,0.00023118999999999999,0.46896158999999998,0.85185184999999997
151507,151507,GraphST,3,10,0.01381453,0.50963568000000004,0.85185184999999997
151507,151507,GraphST,3,11,0.015638039999999999,0.50964071,0.85185184999999997
151507,151507,GraphST,3,14,0.0022267900000000002,0.42216101,0.75438596000000002
151507,151507,GraphST,3,15,0.00019646,0.56540482000000003,0.81818181999999995
151507,151507,GraphST,3,16,0.00535989,0.49322885,0.83486238999999995
151507,151507,GraphST,3,17,0.0063467200000000001,0.55213814000000005,0.83486238999999995
151507,151507,GraphST,3,18,0.0082618099999999996,0.53230049999999995,0.81818181999999995
151507,151507,GraphST,3,19,0.019885860000000002,0.579847,0.80180180000000001
151507,151507,GraphST,3,20,0.0031524600000000002,0.37207213,0.57480315000000004
151507,151507,GraphST,4,7,0.0087740100000000005,0.52546051999999999,0.75438596000000002
151507,151507,GraphST,4,8,0.01045169,0.51924917000000004,0.69491524999999998
151507,151507,GraphST,4,11,0.0076222099999999999,0.51010895999999994,0.70940170999999996
151507,151507,GraphST,4,16,0.017900360000000001,0.54267186999999995,0.69491524999999998
151507,151507,GraphST,6,7,0.01444114,0.47414286999999999,0.81818181999999995
151507,151507,GraphST,6,8,0.012763460000000001,0.49896378000000002,0.80180180000000001
151507,151507,GraphST,6,9,0.00027629,0.45879579999999998,0.78571429000000004
151507,151507,GraphST,6,10,0.01385963,0.50532957999999994,0.80180180000000001
151507,151507,GraphST,6,11,0.01559294,0.49449531000000002,0.80180180000000001
151507,151507,GraphST,6,14,0.00218169,0.41575352999999998,0.73913043
151507,151507,GraphST,6,15,0.00015135999999999999,0.57020725000000005,0.83486238999999995
151507,151507,GraphST,6,16,0.0053147899999999998,0.49332858000000002,0.81818181999999995
151507,151507,GraphST,6,17,0.0063918200000000003,0.59495710999999996,0.83486238999999995
151507,151507,GraphST,6,18,0.0083069100000000007,0.54913615999999998,0.76991149999999997
151507,151507,GraphST,6,19,0.019930960000000001,0.57266930999999999,0.76991149999999997
151507,151507,GraphST,6,20,0.00310736,0.34825444,0.58730159000000004
151507,151507,GraphST,7,8,0.00167768,0.53916200000000003,0.80180180000000001
151507,151507,GraphST,7,9,0.01471743,0.50676803999999998,0.75438596000000002
151507,151507,GraphST,7,11,0.0011517999999999999,0.52840765999999995,0.80180180000000001
151507,151507,GraphST,7,14,0.01225945,0.41307545000000001,0.76991149999999997
151507,151507,GraphST,7,15,0.01428978,0.47860093999999997,0.83486238999999995
151507,151507,GraphST,7,16,0.0091263500000000001,0.55844073000000005,0.83486238999999995
151507,151507,GraphST,7,20,0.01133378,0.42924196999999997,0.72413793000000004
151507,151507,GraphST,8,9,0.013039749999999999,0.47577883999999998,0.83486238999999995
151507,151507,GraphST,8,11,0.0028294800000000001,0.52917510999999995,0.86915887999999997
151507,151507,GraphST,8,14,0.010581770000000001,0.42327989999999999,0.73913043
151507,151507,GraphST,8,15,0.012612099999999999,0.50255967000000001,0.85185184999999997
151507,151507,GraphST,8,16,0.0074486700000000001,0.53532142999999999,0.81818181999999995
151507,151507,GraphST,8,17,0.01915528,0.49304491,0.83486238999999995
151507,151507,GraphST,8,20,0.0096561000000000008,0.42679181999999999,0.68067226999999997
151507,151507,GraphST,9,10,0.013583339999999999,0.46855038999999998,0.78571429000000004
151507,151507,GraphST,9,11,0.015869230000000002,0.45494098999999999,0.85185184999999997
151507,151507,GraphST,9,14,0.0024579799999999998,0.38973617999999999,0.72413793000000004
151507,151507,GraphST,9,15,0.00042765000000000001,0.45143782999999998,0.85185184999999997
151507,151507,GraphST,9,16,0.00559108,0.47791017000000002,0.80180180000000001
151507,151507,GraphST,9,17,0.0061155300000000001,0.44380853999999997,0.81818181999999995
151507,151507,GraphST,9,18,0.0080306200000000005,0.45540693999999998,0.80180180000000001
151507,151507,GraphST,9,19,0.019654669999999999,0.46302070000000001,0.80180180000000001
151507,151507,GraphST,9,20,0.0033836500000000002,0.41395368999999999,0.65289255999999996
151507,151507,GraphST,10,12,0.0090386200000000007,0.39326823999999999,0.78571429000000004
151507,151507,GraphST,10,13,0.01873085,0.42927015000000002,0.78571429000000004
151507,151507,GraphST,10,14,0.016041320000000001,0.36508997999999998,0.73913043
151507,151507,GraphST,10,15,0.014010989999999999,0.48427060999999999,0.81818181999999995
151507,151507,GraphST,10,16,0.019174420000000001,0.55552365000000004,0.81818181999999995
151507,151507,GraphST,10,17,0.0074678100000000001,0.47862208000000001,0.81818181999999995
151507,151507,GraphST,10,18,0.0055527199999999997,0.44541999999999998,0.81818181999999995
151507,151507,GraphST,10,19,0.0060713299999999998,0.46959647999999998,0.76991149999999997
151507,151507,GraphST,10,20,0.016966990000000001,0.38852428,0.66666667000000002
151507,151507,GraphST,11,14,0.01341125,0.39462775999999999,0.76991149999999997
151507,151507,GraphST,11,15,0.01544158,0.49722664999999999,0.90476190000000001
151507,151507,GraphST,11,16,0.01027815,0.57452097000000002,0.85185184999999997
151507,151507,GraphST,11,20,0.01248558,0.41079278000000002,0.70940170999999996
151507,151507,GraphST,12,13,0.0096922299999999996,0.35362002999999997,0.78571429000000004
151507,151507,GraphST,12,17,0.016506429999999999,0.43225101999999999,0.80180180000000001
151507,151507,GraphST,12,18,0.01459134,0.46623489000000001,0.78571429000000004
151507,151507,GraphST,12,19,0.00296729,0.48823109999999997,0.76991149999999997
151507,151507,GraphST,13,19,0.01265952,0.4124198,0.75438596000000002
151507,151507,GraphST,14,15,0.0020303299999999999,0.42226636000000001,0.75438596000000002
151507,151507,GraphST,14,16,0.0031331000000000002,0.38796361000000001,0.75438596000000002
151507,151507,GraphST,14,17,0.0085735099999999995,0.41367250999999999,0.73913043
151507,151507,GraphST,14,18,0.010488600000000001,0.41278209999999999,0.72413793000000004
151507,151507,GraphST,14,20,0.00092566999999999997,0.46253074999999999,0.62601625999999999
151507,151507,GraphST,15,16,0.0051634300000000001,0.47153249000000003,0.83486238999999995
151507,151507,GraphST,15,17,0.00654318,0.56255356999999995,0.85185184999999997
151507,151507,GraphST,15,18,0.0084582600000000004,0.52748351000000004,0.78571429000000004
151507,151507,GraphST,15,20,0.0029559999999999999,0.35732121,0.61290323000000002
151507,151507,GraphST,16,17,0.011706609999999999,0.46841729999999998,0.85185184999999997
151507,151507,GraphST,16,18,0.013621690000000001,0.43814746999999998,0.80180180000000001
151507,151507,GraphST,16,20,0.0022074299999999998,0.41154343999999998,0.70940170999999996
151507,151507,GraphST,17,18,0.0019150899999999999,0.52501319999999996,0.83486238999999995
151507,151507,GraphST,17,19,0.01353914,0.55461990999999999,0.83486238999999995
151507,151507,GraphST,17,20,0.0094991799999999994,0.35573367,0.63934426
151507,151507,GraphST,18,19,0.01162405,0.54121085000000002,0.75438596000000002
151507,151507,GraphST,18,20,0.011414270000000001,0.35748512999999998,0.59999999999999998
151507,151507,STAGATE,1,2,0.01296754,0.54972778,0.76991149999999997
151507,151507,STAGATE,1,3,0.0032758399999999999,0.85627458999999995,0.88679244999999995
