section,method,median_single_seed_reference_ari,best_single_seed_reference_ari,consensus20_reference_ari,consensus20_reference_nmi,split_half_consensus_ari,algorithm,median_single_seed_pairwise_ari,split_half_gain_over_median_single_seed_pairwise_ari,section_display
151509,SEDR,0.508141788127,0.755876800431,0.537951707088,0.68395465833,0.778352299539,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.604952692845,0.173399606694,151509
151510,GraphST,0.3124588271,0.3577202511,0.3699636756,0.5144224711,0.8649574892,average-linkage agglomeration of unweighted co-association matrix,0.4540235012,0.410933988,151510
151510,STAGATE,0.2964647528,0.3791734792,0.3048260432,0.501370276,0.6710775442,average-linkage agglomeration of unweighted co-association matrix,0.5263021921,0.1447753522,151510
151510,SpaGCN,0.3036017473,0.3659755379,0.4086015289,0.5222800842,0.6121868393,average-linkage agglomeration of unweighted co-association matrix,0.4990030914,0.113183748,151510
151510,BANKSY,0.3374386241,0.3726699119,0.3289288852,0.5317493279,0.9243910602,average-linkage agglomeration of unweighted co-association matrix,0.5159709416,0.4084201186,151510
151510,SEDR,0.467330410068,0.539061638079,0.449454009371,0.635175863721,0.895459731051,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.614370914426,0.281088816625,151510
151669,GraphST,0.2358064537,0.3005136928,0.2642181875,0.4313364542,0.7468976509,average-linkage agglomeration of unweighted co-association matrix,0.4382329973,0.3086646536,151669
151669,STAGATE,0.2484200946,0.2957617334,0.2608311952,0.4868465108,0.8763372131,average-linkage agglomeration of unweighted co-association matrix,0.7507573173,0.1255798957,151669
151669,SpaGCN,0.1997262509,0.2405296267,0.2262140478,0.4553986765,0.7708051423,average-linkage agglomeration of unweighted co-association matrix,0.4611687944,0.3096363479,151669
151669,BANKSY,0.2918394024,0.3076992866,0.2914341811,0.5199563327,0.9962752625,average-linkage agglomeration of unweighted co-association matrix,0.9772270006,0.01904826184,151669
151669,SEDR,0.392814429654,0.619294905345,0.386149652217,0.601247697069,0.802602220632,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.613723122412,0.18887909822,151669
151670,GraphST,0.2207269669,0.3745605584,0.3691407119,0.4324203706,0.7715646339,average-linkage agglomeration of unweighted co-association matrix,0.3912814594,0.3802831745,151670
151670,STAGATE,0.2070154123,0.352359398,0.2578351113,0.4463831939,0.7698967202,average-linkage agglomeration of unweighted co-association matrix,0.6156394018,0.1542573183,151670
151670,SpaGCN,0.1599621812,0.2365262758,0.2234615725,0.3871139401,0.5368164489,average-linkage agglomeration of unweighted co-association matrix,0.3869284779,0.149887971,151670
151670,BANKSY,0.3487110139,0.6745597221,0.3147197421,0.4952906074,0.623237268,average-linkage agglomeration of unweighted co-association matrix,0.5913104327,0.03192683526,151670
151670,SEDR,0.314777198697,0.401382442369,0.297104752479,0.513020916499,0.802363436573,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.592134576069,0.210228860504,151670
151671,GraphST,0.3025954117,0.3327844919,0.3276617794,0.4561867767,0.7689475337,average-linkage agglomeration of unweighted co-association matrix,0.5523580888,0.2165894449,151671
151671,STAGATE,0.349704912,0.3924300446,0.3815104399,0.5203401351,0.8646763199,average-linkage agglomeration of unweighted co-association matrix,0.6856020961,0.1790742238,151671
151671,SpaGCN,0.2417816146,0.3307880704,0.2760112071,0.418554416,0.5085367088,average-linkage agglomeration of unweighted co-association matrix,0.4290726497,0.0794640591,151671
151671,BANKSY,0.4160229291,0.4273852203,0.4219221883,0.5470075618,0.9106510966,average-linkage agglomeration of unweighted co-association matrix,0.8774327679,0.03321832871,151671
151671,SEDR,0.482379037215,0.605693411219,0.61700644609,0.693519584491,0.691648819687,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.622998540917,0.0686502787695,151671
151672,GraphST,0.3203188399,0.3607505427,0.3728885252,0.4368099626,0.6722333152,average-linkage agglomeration of unweighted co-association matrix,0.4600749157,0.2121583995,151672
151672,STAGATE,0.3836892097,0.4102767314,0.4046377884,0.5027616181,0.7550593447,average-linkage agglomeration of unweighted co-association matrix,0.6581345227,0.09692482195,151672
151672,SpaGCN,0.29711797,0.3308710605,0.3242107096,0.4815745925,0.7315298843,average-linkage agglomeration of unweighted co-association matrix,0.4177182758,0.3138116085,151672
151672,BANKSY,0.4483161823,0.7249702866,0.4447054948,0.5581830777,0.9846981587,average-linkage agglomeration of unweighted co-association matrix,0.7702083088,0.2144898499,151672
151672,SEDR,0.488040070213,0.568318333285,0.479179568724,0.64896363771,0.762282483459,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.712409271207,0.0498732122519,151672
151673,GraphST,0.1998882532,0.2294850467,0.2121459055,0.4236033796,0.790067609,average-linkage agglomeration of unweighted co-association matrix,0.6081119613,0.1819556477,151673
151673,STAGATE,0.2248357216,0.2660158285,0.2278013626,0.4238318718,0.8588789289,average-linkage agglomeration of unweighted co-association matrix,0.6758398689,0.18303906,151673
